Counties,Evacuation Locations,Status,Zone
"Alachua County	","Gainesville, FL","Mandatory Evacuation Order		","No Evacuation Zone		"
"Baker County	","Jacksonville, FL","Voluntary Evacuation Order	","No Evacuation Zone		"
"Citrus County	","Tampa, FL","Mandatory Evacuation Order		","Zone B or Zone BC (Volusia)		"
"Dixie County	","Gainesville, FL","Mandatory Evacuation Order		","Zone D		"
Flagler County,"Palm Coast, FL","Voluntary Evacuation Order	","No Evacuation Zone		"
"Franklin County	","Tallahassee, FL","Mandatory Evacuation Order		","Zone B		"
Gilchrist County,"Gainesville, FL","Mandatory Evacuation Order		","No Evacuation Zone		"
"Gulf County	","Panama City, FL","Mandatory Evacuation Order		","Zone C		"
"Hamilton County	","North-Central, FL","Seek Shelter	","No Evacuation Zone		"
Hernando County,"Tampa, FL","Mandatory Evacuation Order		","Zone E		"
Hillsborough County,"Tampa, FL","Mandatory Evacuation Order		","Zone D		"
Jefferson County,"Tallahassee, FL","Voluntary Evacuation Order	","Zone D or Zone DE (Volusia)		"
"Lafayette County	","Gainesville, FL","Mandatory Evacuation Order		","Zone E		"
Leon County,"Tallahassee, FL","Mandatory Evacuation Order		","Zone D or Zone DE (Volusia)		"
Levy County,"Gainesville, FL","Mandatory Evacuation Order		","Zone B		"
Madison County,"Tallahassee, FL","Voluntary Evacuation Order	","No Evacuation Zone		"
Manatee County,"St. Petersburg, FL","Mandatory Evacuation Order		","Zone E		"
"Marion County	","Gainesville, FL","Voluntary Evacuation Order	","No Evacuation Zone		"
"Nassau County	","Jacksonville, FL","Voluntary Evacuation Order	","Zone H		"
"Pasco County	","Tampa, FL","Mandatory Evacuation Order		","Zone D		"
Pinellas County,"St. Petersburg and Clearwater, FL","Mandatory Evacuation Order		","Mobile Homes is the Evacuation Zone		"
Putnam County,"Gainesville, FL","Voluntary Evacuation Order	","Zone A		"
Sarasota County,"Sarasota to Englewood, FL","Mandatory Evacuation Order		","Zone D		"
St. Johns County,"St. Augustine, FL","Mandatory Evacuation Order		","Zone F (Collier, Duval,  Nassau, "" St. Johns)"
"Sumter County	","Tampa, FL","Mandatory Evacuation Order		","No Evacuation Zone		"
Suwannee County,"North-Central, FL","Mandatory Evacuation Order		","No Evacuation Zone		"
"Taylor County	","Tallahassee, FL","Mandatory Evacuation Order		","Zone E		"
Union County,"Gainesville, FL","Voluntary Evacuation Order	","No Evacuation Zone		"
"Volusia County	","Daytona Beach, FL","Voluntary Evacuation Order	","Zone DE (Volusia)		"
Wakulla County,"Tallahassee, FL","Mandatory Evacuation Order		","Zone B		"
