Name,Address,City,Zip,COUNTY,X,Y,USNG,OWNERSHIP,PARCELID,NAME_OTHER,DESCRIPTION,LINK,FAC_STATUS,UAID,ACODE,AUSE,AOWNERSHIP,LAT,LONG,COMMENT,FACILITY_TYPE,x,y
NAPLES MUNICIPAL AIRPORT,160 AVIATION DR NORTH,NAPLES,34104,COLLIER,-81.7751231,26.15276862,17R MJ 22526 92833,MUNICIPAL,20764680005,NAPLES MUNICIPAL AIRPORT,160 AVIATION DRIVE NORTH  NAPLES FL 34104-3568,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000049,Active,FL000049,APF,Public,Public,26.15262027,-81.77529444,,AIRPORT,-9103165.063367821,3018014.3271509996
AVON PARK EXECUTIVE AIRPORT, ,AVON PARK,33825,HIGHLANDS,-81.52671365,27.59191265,17R ML 48017 52108,MUNICIPAL,A2133280100210003A,AVON PARK EXECUTIVE AIRPORT,1545 STATE ROAD 64 WEST  AVON PARK FL 33825,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000003,Active,FL000003,AVO,Public,Public,27.59114444,-81.52785277,,AIRPORT,-9075512.24926955,3197620.057150256
PETER PRINCE FIELD, ,MILTON,32583,SANTA ROSA,-86.99365205,30.63757157,16R EU 00608 89436,COUNTY,31-2N-27-0000-00100-0000,PETER PRINCE FIELD,5550 NORTH AIRPORT ROAD  MILTON FL 32583,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000048,Active,FL000048,2R4,Public,Public,30.63762222,-86.99365277,,AIRPORT,-9684089.048350047,3585769.8219857304
NORTHWEST FLORIDA REGIONAL AIRPORT / EGLIN AFB,1701 STATE ROAD 85 N,EGLIN AFB, ,OKALOOSA,-86.54951454,30.49553588,16R EU 43231 73783,,,NORTHWEST FLORIDA REGIONAL AIRPORT / EGLIN AFB,1701 HWY 85 NORTH  EGLIN AIR FORCE BASE FL 32542-1413,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000073,Active,FL000073,VPS,Public,Military USAF,30.48333333,-86.52533333,,AIRPORT,-9634647.886473885,3567406.7208865304
NORTH PERRY AIRPORT, ,HOLLYWOOD,33023,BROWARD,-80.2396479,26.00242056,17R NJ 76094 76173,,514115000051,NORTH PERRY AIRPORT,101 SOUTH WEST 77TH WAY  PEMBROKE PINES FL 33023,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000026,Active,FL000026,HWO,Public,Public,26.00142416,-80.24052055,,AIRPORT,-8932236.746061165,2999380.7432374055
OAK TREE LANDING AIRPORT, ,NEWBERRY,32669,GILCHRIST,-82.66445792,29.72032272,17R LN 39007 88955,,12-09-16-0000-0004-0000,OAK TREE LANDING AIRPORT,1400 SOUTHEAST 80TH AVENUE  NEWBERRY FL 32669,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000431,Active,FL000431,6J8,Public,Private,29.72013888,-82.66395833,,AIRPORT,-9202165.362411804,3467650.356630308
MID FLORIDA AIR SERVICE AIRPORT, ,MOUNT DORA,32757,LAKE,-81.63034812,28.84610151,17R MM 38512 91098,,081927000400001901,MID FLORIDA AIR SERVICE AIRPORT,19708 EUSTIS AIRPORT ROAD  EUSTIS FL 32736,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000345,Active,FL000345,X55,Public,Private,28.84335111,-81.63002416,,AIRPORT,-9087048.78600908,3356072.749954456
HOMESTEAD GENERAL AVIATION AIRPORT,28700 SW 217 AVE,HOMESTEAD,33030,MIAMI-DADE,-80.55422211,25.49872135,17R NJ 44800 20247,,3078050000010,HOMESTEAD GENERAL AVIATION AIRPORT,28700 SOUTH WEST 217 AVENUE  HOMESTEAD FL 33030,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000028,Active,FL000028,X51,Public,Public,25.49871944,-80.554225,,AIRPORT,-8967254.986081256,2937126.7372241
TAMPA NORTH AERO PARK, ,LUTZ,33559,PASCO,-82.37454912,28.22128056,17R LM 65120 22480,,1926140000002000090,TAMPA NORTH AERO PARK,4241 BIRDSONG BOULEVARD  LUTZ FL 33559,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000781,Active,FL000781,X39,Public,Private,28.22128055,-82.37454722,,AIRPORT,-9169892.862556148,3276900.9587016674
ST LUCIE COUNTY INTERNATIONAL AIRPORT, ,FORT PIERCE,34946,ST. LUCIE,-80.36827804,27.49505547,17R NL 62400 41427,,1430-111-0001-000-2,ST LUCIE COUNTY INTERNATIONAL AIRPORT,3000 CURTIS KING BOULEVARD  FORT PIERCE FL 34946,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000020,Active,FL000020,FPR,Public,Public,27.49506388,-80.36827222,,AIRPORT,-8946555.787386293,3185459.7109508254
