Name,Address,City,Zip,COUNTY,LONGLAT,USNG,OWNERSHIP,PARCELID,FACILITY_TYPE,ADDRESSCITYZIP,x,y
SARASOTA-BEE RIDGE PARK (MOBILE), , , ,,"-82.50695500,27.29052100",17R LL 50863 19513,,,DISASTER RECOVERY CENTER-MOBILE,"    , FL  ",-9184632.217480352,3159815.6334109497
LEVY-CITY HALL WILLISTON (MOBILE), , , ,,"-82.44821300,29.38795100",17R LN 59466 51840,,,DISASTER RECOVERY CENTER-MOBILE,"    , FL  ",-9178093.08800541,3425116.778485439
HIGHLANDS-AVON PARK HS (MOBILE), , , ,,"-81.48846010,27.59401180",17R ML 51794 52325,,,DISASTER RECOVERY CENTER-MOBILE,"    , FL  ",-9071253.883822316,3197883.722081692
MANATEE COUNTY CONVENTION CENTER (MOBILE), , , ,,"-82.56168170,27.51498620",17R LL 45758 44448,,,DISASTER RECOVERY CENTER-MOBILE,"    , FL  ",-9190724.365863249,3187961.1232198994
SARASOTA-CHURCH OF THE PALMS (MOBILE), , , ,,"-82.50556090,27.29863600",17R LL 51012 20410,,,DISASTER RECOVERY CENTER-MOBILE,"    , FL  ",-9184477.027015975,3160832.171847241
OKEECHOBEE-C SCOTT DRIVER REC AREA (MOBILE), , , ,,"-80.86797560,27.15157490",17R NL 13081 03230,,,DISASTER RECOVERY CENTER-MOBILE,"    , FL  ",-9002181.86524752,3142421.826534835
CHARLOTTE-19400 COCHRAN BLVD (MOBILE), , , ,,"-82.13473010,27.00896540",17R LK 87422 87934,,,DISASTER RECOVERY CENTER-MOBILE,"    , FL  ",-9143196.331179619,3124591.9018927724
HENDRY-U SAVE MARKET (MOBILE), , , ,,"-80.93146650,26.75294600",17R NK 06814 59074,,,DISASTER RECOVERY CENTER-MOBILE,"    , FL  ",-9009249.639946003,3092639.3783637434
DESOTO COUNTY TURNER AGRI CIVIC CENTER (MOBILE), , , ,,"-81.83633380,27.22581000",17R ML 17187 11722,,,DISASTER RECOVERY CENTER-MOBILE,"    , FL  ",-9109979.006991884,3151712.1620281865
HIGHLANDS-SEBRING HIGH SCHOOL (MOBILE), , , ,,"-81.43146620,27.48718360",17R ML 57377 40471,,,DISASTER RECOVERY CENTER-MOBILE,"    , FL  ",-9064909.35194525,3184471.874011257
SARASOTA-R.L. TAYLOR COMM COMPLEX (MOBILE), , , ,,"-82.53222300,27.36606970",17R LL 48465 27913,,,DISASTER RECOVERY CENTER-MOBILE,"    , FL  ",-9187445.038369596,3169282.2391559067
MONROE-30320 OVERSEAS HWY (MOBILE), , , ,,"-81.35860970,24.66868970",17R MH 63716 28310,,,DISASTER RECOVERY CENTER-MOBILE,"    , FL  ",-9056799.003487578,2835105.1582570863
OKEECHOBEE-ALTON CHANDLER CIVIC CENTER (MOBILE), , , ,,"-81.03690100,27.38848700",17R ML 96351 29465,,,DISASTER RECOVERY CENTER-MOBILE,"    , FL  ",-9020986.554801282,3172092.4740664004
