Name,Address,City,Zip,COUNTY,LONGLAT,USNG,OWNERSHIP,PARCELID,FACILITY_TYPE,ADDRESSCITYZIP,x,y
ALACHUA COUNTY FAIRGROUNDS,2900 NE 39TH AVE,GAINESVILLE,32609,ALACHUA,"-82.28027223,29.68244134",17R LN 76124 84283,,08192 010 000,DISASTER RECOVERY CENTER,"2900 NE 39TH AVE GAINESVILLE , FL 32609",-9159398.00719772,3462795.600631542
ALACHUA-HIGH SPRINGS LIBRARY,23779 W US HWY 27,HIGH SPRINGS,32643,ALACHUA,"-82.60787460,29.77814550",17R LN 44570 95285,,,DISASTER RECOVERY CENTER,"23779 W US HWY 27 HIGH SPRINGS , FL 32643",-9195866.53598251,3475064.2734851246
ALACHUA-NEWBERRY LIBRARY,110 S SEABOARD DR,NEWBERRY ,32669,ALACHUA,"-82.61078510,29.64513260",17R LN 44083 80548,,,DISASTER RECOVERY CENTER,"110 S SEABOARD DR NEWBERRY  , FL 32669",-9196190.531331804,3458016.0203234297
ALACHUA-WALDO LIBRARY,14257 COLE ST,WALDO,32694,ALACHUA,"-82.17123630,29.79041410",17R LN 86796 96136,,,DISASTER RECOVERY CENTER,"14257 COLE ST WALDO , FL 32694",-9147260.182756186,3476637.878197497
CONE PARK BRANCH LIBRARY (FIXED),2801 E UNIVERSITY BLVD,GAINESVILLE,32641,ALACHUA,"-82.28827350,29.65153310",17R LN 75311 80866,,,DISASTER RECOVERY CENTER,"2801 E UNIVERSITY BLVD GAINESVILLE , FL 32641",-9160288.704289125,3458835.855205224
ALACHUA-LIBRARY PARTNERSHIP,1130 NE 16TH AVE,GAINESVILLE,32601,ALACHUA,"-82.31096930,29.66781400",17R LN 73135 82695,,,DISASTER RECOVERY CENTER,"1130 NE 16TH AVE GAINESVILLE , FL 32601",-9162815.189194836,3460921.4975357517
ALACHUA-HAWTHORNE LIBRARY,6640 SE 221ST ST,HAWTHORNE, ,ALACHUA,"-82.08682610,29.59275220",17R LN 94749 74153,,,DISASTER RECOVERY CENTER,"6640 SE 221ST ST HAWTHORNE , FL  ",-9137863.682273358,3451308.6144331004
ALACHUA-MILLHOPPER LIBRARY,3145 NW 43RD ST,GAINESVILLE,32606,ALACHUA,"-82.38790850,29.68195370",17R LN 65707 84349,,,DISASTER RECOVERY CENTER,"3145 NW 43RD ST GAINESVILLE , FL 32606",-9171380.021763608,3462733.1183176683
CITY OF GAINESVILLE WESTSIDE RECREATION CENTER,1001 NW 34TH ST,GAINESVILLE,32605,ALACHUA,"-82.37134700,29.66151300",17R LN 67283 82065,,06436 001 000,DISASTER RECOVERY CENTER,"1001 NW 34TH ST GAINESVILLE , FL 32605",-9169536.404004961,3460114.276645056
ALACHUA-ARCHER LIBRARY,13266 SW SR 45,ARCHER, ,ALACHUA,"-82.51969660,29.53206440",17R LN 52737 67898,,,DISASTER RECOVERY CENTER,"13266 SW SR 45 ARCHER , FL  ",-9186050.605953649,3443541.7837095107
ALACHUA CO FIRE RESCUE ST 6,5901 NW 34TH ST,GAINESVILLE,32653,ALACHUA,"-82.35290756,29.70979567",17R LN 69130 87394,COUNTY,07879 003 002,DISASTER RECOVERY CENTER,"5901 NW 34TH ST GAINESVILLE , FL 32653",-9167483.735283405,3466301.0600839616
BAKER COUNTY SENIOR HIGH SCHOOL,1 WILDCAT DR,GLEN SAINT MARY,32040,BAKER,"-82.15459886,30.28217508",17R LP 88954 50617,,362S21000000000050,DISASTER RECOVERY CENTER,"1 WILDCAT DR GLEN SAINT MARY , FL 32040",-9145408.11102549,3539872.630580378
PRIVATE OWNED PROPERTY OF BILL WATSON,14512 US 90,GLEN SAINT MARY,32040,BAKER,"-82.27698551,30.24737573",17R LP 77139 46886,,,DISASTER RECOVERY CENTER,"14512 US 90 GLEN SAINT MARY , FL 32040",-9159032.131011587,3535387.4833335364
CHRISTIAN FELLOWSHIP TEMPLE,337 N 7TH ST,MACCLENNY,32063,BAKER,"-82.12681993,30.28658992",17R LP 91630 51079,,322S22004900080010,DISASTER RECOVERY CENTER,"337 N 7TH ST MACCLENNY , FL 32063",-9142315.775415247,3540441.754693192
BAKER COUNTY FAIRGROUNDS,5611 LAURAMORE RD,MACCLENNY,32063,BAKER,"-82.13265735,30.30543471",17R LP 91090 53174,COUNTY,202S22000000000330,DISASTER RECOVERY CENTER,"5611 LAURAMORE RD MACCLENNY , FL 32063",-9142965.59363627,3542871.356568786
BAKER COUNTY AGRICULTURAL CENTER,1025 WEST MACCLENNY AVE,MACCLENNY,32063,BAKER,"-82.13784900,30.28030300",17R LP 90563 50393,COUNTY,312S22000000000571,DISASTER RECOVERY CENTER,"1025 WEST MACCLENNY AVE MACCLENNY , FL 32063",-9143543.52546318,3539631.3049060875
THOMAS DRIVE FIRE ST 1,2913 THOMAS DR,PANAMA CITY,32408,BAY,"-85.74907986,30.15374025",16R FU 20466 36481,COUNTY,31142-040-000,DISASTER RECOVERY CENTER,"2913 THOMAS DR PANAMA CITY , FL 32408",-9545543.906433111,3523327.0661898595
SANDHILLS FD,13010 STATE HIGHWAY 77,PANAMA CITY,32409,BAY,"-85.68439657,30.38657328",16R FU 26397 62356,COUNTY,07504-005-000,DISASTER RECOVERY CENTER,"13010 STATE HIGHWAY 77 PANAMA CITY , FL 32409",-9538343.395487532,3553337.6464206167
BRADFORD COUNTY SENIOR CENTER,1805 N TEMPLE AVE,STARKE,32091,BRADFORD,"-82.10610430,29.96400788",17R LP 93276 15311,COUNTY,02423-0-00000,DISASTER RECOVERY CENTER,"1805 N TEMPLE AVE STARKE , FL 32091",-9140009.721462771,3498924.2303993125
