Name,Address,City,Zip,COUNTY,LONGLAT,USNG,OWNERSHIP,PARCELID,FACILITY_TYPE,x,y
SHANDSCAIR EMS,1600 SW SHEALY DR,GAINESVILLE, ,ALACHUA,"-82.35107310,29.63311778",17R LN 69209 78895,,,EMERGENCY MEDICAL SERVICE,-9167279.524069127,3456477.1924705254
ALACHUA CO FIRE RESCUE HQ,911 SE 5TH ST,GAINESVILLE,32601,ALACHUA,"-82.31939272,29.64328610",17R LN 72289 79986,COUNTY,16001 002 000,EMERGENCY MEDICAL SERVICE,-9163752.879946794,3457779.513899003
GAINESVILLE FIRE RESCUE DEPT,1025 NE 13TH ST,GAINESVILLE,32601,ALACHUA,"-82.30834182,29.66056646",17R LN 73380 81889,MUNICIPAL,10515 010 003,EMERGENCY MEDICAL SERVICE,-9162522.699354593,3459993.019443484
SHANDS AIR AMBULANCE,1600 SW SHEALY DR,GAINESVILLE,32608,ALACHUA,"-82.35067738,29.63516272",17R LN 69250 79121,PRIVATE,15505 002 002,EMERGENCY MEDICAL SERVICE,-9167235.472239489,3456739.0904183798
BAKER CO EMS,1190 W MACCLENNY AVE,MACCLENNY,32063,BAKER,"-82.13964792,30.27944278",17R LP 90389 50300,COUNTY,312S22000000000387,EMERGENCY MEDICAL SERVICE,-9143743.779880293,3539520.41809714
BAKER CO EMS STATION 2,14275 W US 90,SANDERSON,32087,BAKER,"-82.27369681,30.24958987",17R LP 77458 47128,COUNTY,123S20005000420010,EMERGENCY MEDICAL SERVICE,-9158666.034330688,3535672.8078384777
EMS STATION 4,11711 US HIGHWAY 231,YOUNGSTOWN,32466,BAY,"-85.43927033,30.36021161",16R FU 49991 59733,COUNTY,03631-020-000,EMERGENCY MEDICAL SERVICE,-9511056.066451533,3549936.2295387792
EMS STATION 3,827 OHIO AVE,LYNN HAVEN,32444,BAY,"-85.64838642,30.24591479",16R FU 30043 46807,COUNTY,09611-000-000,EMERGENCY MEDICAL SERVICE,-9534334.7639388,3535199.223819334
EMS STATION 8,17109 PANAMA CITY BEACH PKWY,PANAMA CITY BEACH,32413,BAY,"-85.89008904,30.23036719",16R FU 06803 44833,COUNTY,33387-000-000,EMERGENCY MEDICAL SERVICE,-9561240.976423673,3533195.9005089263
BAY MEDICAL EMS,518 N COVE BLVD,PANAMA CITY,32401,BAY,"-85.65001574,30.15788917",16R FU 30002 37050,COUNTY,20802-000-000,EMERGENCY MEDICAL SERVICE,-9534516.138979005,3523861.211831567
EMS STATION 7,489 N TYNDALL PKWY,PANAMA CITY,32404,BAY,"-85.59151594,30.15664497",16R FU 35637 36980,COUNTY,24407-000-000,EMERGENCY MEDICAL SERVICE,-9528003.970935393,3523701.027215352
EMS STATION 2,10005 HUTCHISON BLVD,PANAMA CITY BEACH,32407,BAY,"-85.80406679,30.18100588",16R FU 15139 39446,COUNTY,34881-050-000,EMERGENCY MEDICAL SERVICE,-9551665.022978721,3526837.744177986
CHIPOLA AVIATION AIR AMBULANCE,1001 JACKSON WAY,PANAMA CITY,32405,BAY,"-85.67595525,30.21230622",16R FU 27433 43052,PRIVATE,11730-000-000,EMERGENCY MEDICAL SERVICE,-9537403.711372374,3530869.123558004
BRADFORD COUNTY EMS,945B N TEMPLE AVE,STARKE,32091,BRADFORD,"-82.10951247,29.95431514",17R LP 92937 14240,COUNTY,02405-0-00000,EMERGENCY MEDICAL SERVICE,-9140389.117734062,3497678.83119029
BREVARD CO FIRE RESCUE ST 86 EMS,301 BAREFOOT BLVD,SEBASTIAN,32976,BREVARD,"-80.50591561,27.88308082",17R NL 48632 84348,COUNTY,30 381100  532,EMERGENCY MEDICAL SERVICE,-8961877.531651216,3234240.9368839166
BREVARD CO FIRE RESCUE ST 63 EMS,2602 N STATE ROAD A1A,INDIALANTIC,32903,BREVARD,"-80.57864295,28.12748600",17R NM 41380 11396,COUNTY,27 371300  759,EMERGENCY MEDICAL SERVICE,-8969973.50247165,3265056.3863528688
BREVARD CO FIRE RESCUE ST 82 EMS,109 PINE ST,MELBOURNE,32904,BREVARD,"-80.67046723,28.07966927",17R NM 32376 06071,COUNTY,28 370626        75,EMERGENCY MEDICAL SERVICE,-8980195.333746064,3259021.979686549
BREVARD CO FIRE RESCUE ST 44 EMS,3780 KING ST,COCOA,32926,BREVARD,"-80.78352995,28.35917987",17R NM 21212 37010,COUNTY,24 353600  262,EMERGENCY MEDICAL SERVICE,-8992781.418351315,3294334.0903255222
BREVARD CO FIRE RESCUE ST 23 EMS,770 SOUTH ST,TITUSVILLE,32780,BREVARD,"-80.82007011,28.60621618",17R NM 17591 64372,COUNTY,22 350476         1,EMERGENCY MEDICAL SERVICE,-8996849.050823897,3325621.0134997317
BREVARD CO FIRE RESCUE ST 67 EMS,11 NIEMAN AVE,MELBOURNE,32935,BREVARD,"-80.62773128,28.10747567",17R NM 36566 09164,COUNTY,,EMERGENCY MEDICAL SERVICE,-8975437.990348121,3262530.783023371
BREVARD CO FIRE RESCUE ST 80 EMS,400 PINEDA CT,MELBOURNE,32940,BREVARD,"-80.67679596,28.22591177",17R NM 31711 22270,COUNTY,26 361300   11,EMERGENCY MEDICAL SERVICE,-8980899.844956176,3277486.067145762
BREVARD CO FIRE RESCUE ST 48 EMS,5550 PORADA DR,VIERA,32940,BREVARD,"-80.73844443,28.26453698",17R NM 25653 26534,COUNTY,,EMERGENCY MEDICAL SERVICE,-8987762.520865206,3282366.974609382
