Name,Address,City,Zip,COUNTY,LONGLAT,USNG,DESCRIPT,PARCELID,FACILITY_TYPE,x,y
Imagine School at North Port,2757 Sycamore St, ,34289,,"-82.15473799,27.08450502",17R LK 85513 96320,,,PRIVATE SCHOOL,-9145423.599418448,3134033.507936907
Children First - North Port,6926 Children Way, ,34287,,"-82.24169363,27.05057803",17R LK 76854 92644,,,PRIVATE SCHOOL,-9155103.457223937,3129792.227549251
Charter School Of Excellence @ Davie 2,2801 N. University Drive,Pembroke Pines,33024,,"-80.24848339,26.03458718",17R NJ 75189 79730,,,PRIVATE SCHOOL,-8933220.308083475,3003365.3446938223
Charter School of Excellence @ Davie,2801 N. University Drive,Pembroke Pines,33024,,"-80.24848339,26.03458718",17R NJ 75189 79730,,,PRIVATE SCHOOL,-8933220.308083475,3003365.3446938223
Lord's Heritage Christian Academy,5813 Papaya Dr, ,34982,,"-80.29785490,27.35829120",17R NL 69442 26315,,,PRIVATE SCHOOL,-8938716.319202833,3168307.2589122285
FOREST GROVE CHRISTIAN ACADEMY,9315 NW 226TH ST,ALACHUA,32615,ALACHUA,"-82.58163335,29.74132711",17R LN 47051 91170,,01739 000 000,PRIVATE SCHOOL,-9192945.373189593,3470343.0020835134
DESTINY CHRISTIAN ACADEMY,14200 NW 148TH PL,ALACHUA,32615,ALACHUA,"-82.49651172,29.79171084",17R LN 55356 96644,,03627 001 000,PRIVATE SCHOOL,-9183469.676361192,3476804.2128563207
BNAI ISRAEL DAY SCHOOL,3830 NW 16TH BLVD,GAINESVILLE,32605,ALACHUA,"-82.38107130,29.67179184",17R LN 66356 83215,,06412 001 000,PRIVATE SCHOOL,-9170618.907991903,3461431.1241923934
Z.L. SUNG SDA SCHOOL,2115 NW 39TH AVE,GAINESVILLE,32605,ALACHUA,"-82.35235889,29.68792860",17R LN 69155 84971,,08992 002 000,PRIVATE SCHOOL,-9167422.657077573,3463498.7172088334
COUNTRYSIDE CHRISTIAN SCHOOL,10926 NW 39TH AVE,GAINESVILLE,32606,ALACHUA,"-82.45877345,29.68979002",17R LN 58861 85302,,04193 003 000,PRIVATE SCHOOL,-9179268.671673458,3463737.2408344424
