Name,Address,City,Zip,COUNTY,LONGLAT,USNG,OWNERSHIP,PARCELID,FACILITY_TYPE,x,y
GREATER PALM BEACH AND MARTIN COUNTY RED CROSS CHAPTER,1250 NORTHPOINT PKWY,WEST PALM BEACH,33407,PALM BEACH,"-80.09730945,26.76306721",17R NK 89749 60511,,,RELIEF AGENCY,-8916391.7020222,3093901.1852755384
FLORIDA'S SPACE COAST RED CROSS CHAPTER,341 WHITE ST,DAYTONA BEACH,32114,VOLUSIA,"-81.04805302,29.20658441",17R MN 95328 30874,,,RELIEF AGENCY,-9022227.9923431,3401965.9683720227
SOUTH COUNTY RED CROSS SERVICE CENTER,5820 N FEDERAL HWY,BOCA RATON,33487,PALM BEACH,"-80.07584842,26.40149739",17R NK 92172 20478,,,RELIEF AGENCY,-8914002.671008017,3048893.6948224134
SALVATION ARMY,1555 LPGA BLVD,DAYTONA BEACH,32117,VOLUSIA,"-81.07231780,29.23215373",17R MN 92972 33708,,,RELIEF AGENCY,-9024929.135435972,3405227.3150332053
SALVATION ARMY - MIAMI COMMAND,1907 NW 38TH ST,MIAMI,33412,MIAMI-DADE,"-80.23033200,25.81161101",17R NJ 77150 55046,,,RELIEF AGENCY,-8931199.704012426,2975766.8073234204
SALVATION ARMY - HILLSBOROUGH COMMAND,930 E 139TH AVE,TAMPA,33613,HILLSBOROUGH,"-82.45060159,28.07428213",17R LM 57462 06280,,1928061GF000000000080U,RELIEF AGENCY,-9178358.98511876,3258342.298662084
CAPITAL AREA RED CROSS CHAPTER,1115 EASTERWOOD DR,TALLAHASSEE,32311,LEON,"-84.22011142,30.45027940",16R GU 66946 71965,,,RELIEF AGENCY,-9375339.917359462,3561561.3672359562
THE SALVATION ARMY,1521 E DRUID RD,CLEARWATER,33756,PINELLAS,"-82.77370257,27.95594487",17R LL 25518 93588,,,RELIEF AGENCY,-9214326.421440164,3243420.5796717624
FLAGLER COUNTY HUMANE SOCIETY,1 SHELTER DRIVE,PALM COAST,32137,FLAGLER,,,,,RELIEF AGENCY,-9046474.46964758,3446803.522102413
SALVATION ARMY,1240 S HIGH ST ,DELAND ,32720,VOLUSIA,,,,,RELIEF AGENCY,-9052289.638219405,3376589.631943316
CHARLOTTE COUNTY RED CROSS CHAPTER,"1777 TAMIAMI TRL, STE 410",PORT CHARLOTTE,33948,CHARLOTTE,"-82.13632715,27.00741586",17R LK 87262 87764,,402207156002,RELIEF AGENCY,-9143374.113553181,3124398.2931986824
NORTHWEST FLORIDA RED CROSS CHAPTER,1741 N PALAFOX ST,PENSACOLA,32501,ESCAMBIA,"-87.21974917,30.43057037",16R DU 78897 66518,,000S009010016101,RELIEF AGENCY,-9709258.064539319,3559016.5864202604
NWFL ARC CHAPTER - CENTRAL PANHANDLE OFFICE,430 E 15TH ST,PANAMA CITY,32401,BAY,"-85.65409993,30.17486909",16R FU 29586 38927,,,RELIEF AGENCY,-9534970.788984008,3526047.4967949684
SALVATION ARMY,1514 N FLORIDA AVE,TAMPA,33602,HILLSBOROUGH,"-82.45964973,27.95932193",17R LL 56420 93553,,,RELIEF AGENCY,-9179366.21930931,3243846.1834934955
ST. LUCIE LOGISTICS CENTER (ARC),3855 S US HWY 1,FORT PIERCE,34982,ST. LUCIE,"-80.32841695,27.39056664",17R NL 66400 29874,COUNTY,2434-601-0046-000-8,RELIEF AGENCY,-8942118.470814139,3172353.207387518
SALVATION ARMY - LEE COMMAND,10291 MCGREGOR BLVD,FORT MYERS,33919,LEE,"-81.89188976,26.59222972",17R MK 11191 41581,,,RELIEF AGENCY,-9116163.468194695,3072617.961554593
NEFL ARC CHAPTER - LAKE CITY OFFICE,971 W DUVAL ST,LAKE CITY,32055,COLUMBIA,"-82.65158774,30.18826913",17R LP 40998 40799,COUNTY,,RELIEF AGENCY,-9200732.66038872,3527773.1122857207
SALVATION ARMY - BREVARD COMMAND,1218 W MAIN ST,TITUSVILLE,32796,BREVARD,"-80.81766009,28.61281766",17R NM 17825 65103,,,RELIEF AGENCY,-8996580.768734653,3326458.0913470644
SALVATION ARMY AREA COMMAND,416 W COLONIAL,ORLANDO,32801,ORANGE,"-81.38488227,28.55269581",17R MM 62352 58490,,292226160611170,RELIEF AGENCY,-9059723.65283451,3318836.49011839
PATRICK AFB RED CROSS CHAPTER,FAMILY SUPPORT CENTER BLDG 415,PATRICK AFB,32925,BREVARD,"-80.58197189,28.42165285",17R NM 40940 43983,,,RELIEF AGENCY,-8970344.077578166,3302239.3301987424
FLORIDA'S COAST TO HEARTLAND RED CROSS CHAPTER,2506 17TH AVE,VERO BEACH,32960,INDIAN RIVER,"-80.40204602,27.64468477",17R NL 58984 57986,,,RELIEF AGENCY,-8950314.822070105,3204250.07571076
