Name,Address,City,Zip,COUNTY,X,Y,LONGLAT,USNG,OWNERSHIP,PARCELID,FACILITY_TYPE,x,y
GREYHOUND-PORT CHARLOTTE,900 KINGS HWY,PORT CHARLOTTE, ,CHARLOTTE,-82.05028,27.01659,"-82.05028000,27.01659000",17R LK 95808 88706,,,BUS TERMINAL,-9133795.389064599,3125544.603214217
GREYHOUND-ISLAMORADA,82201 OVERSEAS HWY,ISLAMORADA, ,MONROE,-80.62999,24.92268,"-80.62999000,24.92268000",17R NH 37361 56437,,,BUS TERMINAL,-8975689.42945717,2866250.5884479773
GREYHOUND-TALLAHASSEE,112 W TENNESSEE ST,TALLAHASSEE, ,LEON,-84.28243,30.44472,"-84.28243000,30.44472000",16R GU 60974 71203,,,BUS TERMINAL,-9382277.190406373,3560843.499695913
GREYHOUND-WEST PALM BEACH,205 S TAMARIND AVE,WEST PALM BEACH, ,PALM BEACH,-80.06199,26.71219,"-80.06199000,26.71219000",17R NK 93303 54901,,,BUS TERMINAL,-8912459.958659649,3087559.4804348405
GREYHOUND-KEY WEST INT'L,3535 S ROOSEVELT BLVD,KEY WEST, ,MONROE,-81.75466,24.55354,"-81.75466000,24.55354000",17R MH 23573 15722,,,BUS TERMINAL,-9100887.121195229,2821005.9075552565
GREYHOUND-BROOKSVILLE,9020 COBB RD,BROOKSVILLE, ,HERNANDO,-82.42075,28.5569,"-82.42075000,28.55690000",17R LM 61025 59719,,,BUS TERMINAL,-9175035.920816286,3319369.310134741
GREYHOUND-JACKSONVILLE,10 N PEARL ST,JACKSONVILLE, ,DUVAL,-81.66295,30.32752,"-81.66295000,30.32752000",17R MP 36270 55264,,,BUS TERMINAL,-9090678.010697898,3545719.339987089
GREYHOUND-WINTER HAVEN,900 6TH ST NW,WINTER HAVEN, ,POLK,-81.73292,28.03106,"-81.73292000,28.03106000",17R MM 27957 00859,,,BUS TERMINAL,-9098467.03548351,3252890.3096271525
GREYHOUND-STARKE,838 N TEMPLE AVE,STARKE, ,BRADFORD,-82.10841,29.95285,"-82.10841000,29.95285000",17R LP 93042 14077,,,BUS TERMINAL,-9140266.391023884,3497490.5891485997
GREYHOUND-NAPLES,2669 DAVIS BLVD,NAPLES, ,COLLIER,-81.77258,26.13853,"-81.77258000,26.13853000",17R MJ 22771 91254,,,BUS TERMINAL,-9102881.96649014,3016248.6181077645
FIVE FLAGS TROLLEY,226 E INTENDENCIA ST,PENSACOLA,32502,ESCAMBIA,-87.21100988,30.41125447,"-87.21100988,30.41125447",16R DU 79733 64376,,,BUS TERMINAL,-9708285.211469332,3556523.0650732243
PINELLAS SUNCOAST TRANSIT AUTHORITY,3201 SCHERER DRIVE,SAINT PETERSBURG,33716,PINELLAS,-82.67666969,27.88692808,"-82.67666969,27.88692808",17R LL 34960 85806,SPECIAL TAXING DISTRICT,16 30 11 00000 230 0200,BUS TERMINAL,-9203524.77029898,3234725.4721503803
GREYHOUND-GAINESVILLE,101 NE 23RD ST,GAINESVILLE, ,ALACHUA,-82.29438,29.65248,"-82.29438000,29.65248000",17R LN 74721 80978,,,BUS TERMINAL,-9160968.476771485,3458957.147319244
GREYHOUND-MELBOURNE,1 AIR TERMINAL PKWY  ,MELBOURNE, ,BREVARD,-80.63238003,28.09763367,"-80.63238003,28.09763367",17R NM 36112 08072,,,BUS TERMINAL,-8975955.486408718,3261288.746820896
