NAME,HAZUSID,ADDRESS,CITY,ZIP,COUNTY,LONGLAT,USNG,OWNERSHIP,PARCELID,FACILITY_TYPE,EFCLASS,BACKUP_POWER,KITCHENS,REPLACEMENT_COST,EQ_DESIGN_LEVEL,EQ_BUILD_TYPE,EQ_DF_TYPE,LD_SUS,LIQU_SUS,SOIL_TYPE,WATER_DEPTH,STRUC_DAMAGE,FLOOD_BLDG_TYPE,CONTENT_DAMAGE_FUNCT_ID,FIRST_FLOOR_HEIGHT,FLOOD_RETURN_PERIOD,FLOOD_STR_FOUND_TYPE,x,y
GAINESVILLE FD ST 8,FL007281,4127 NW 34TH ST,GAINESVILLE,32601,ALACHUA,"-82.37061276,29.69186153",17R LN 67394 85427,M,06081 000 000,FIRE STATION,EFFS,NO,NO,1260,PC,C3L,0,0,0,D,5,641,Concrete,479,1,0,7,-9169454.668875106,3464002.6914478964
ALACHUA COUNTY FD ST 25,FL008056,7405 SE 221ST ST,HAWTHORNE,32640,ALACHUA,"-82.08679035,29.58612338",17R LN 94746 73418,C,19493 001 000,FIRE STATION,EFFS,NO,NO,1260,PC,C3L,0,0,0,D,5,641,Concrete,479,1,0,7,-9137859.702675177,3450460.030619542
GAINESVILLE FD ST 2,FL006639,2210 SW ARCHER RD,GAINESVILLE,32608,ALACHUA,"-82.35492015,29.63559258",17R LN 68839 79174,M,15505 002 001,FIRE STATION,EFFS,NO,NO,1260,PC,C3L,0,0,0,D,5,641,Concrete,479,1,0,7,-9167707.775708692,3456794.1439952976
GAINESVILLE FIRE RESCUE DEPT,,1025 NE 13TH ST,GAINESVILLE,32601,ALACHUA,"-82.30834182,29.66056646",17R LN 73380 81889,M,10515 010 003,FIRE STATION,EFFS,NO,NO,1260,PC,C3L,0,0,0,D,5,641,Concrete,479,1,0,7,-9162522.699354593,3459993.019443484
ALACHUA COUNTY FD ST 27,FL008057,429 W STATE ROAD 24,ARCHER,32618,ALACHUA,"-82.52496731,29.53357700",17R LN 52228 68073,C,04963 000 000,FIRE STATION,EFFS,NO,NO,1260,PC,C3L,0,0,0,D,5,641,Concrete,479,1,0,7,-9186637.338939657,3443735.3094435344
ALACHUA CO FIRE RESCUE HQ,FL007280,911 SE 5TH ST,GAINESVILLE,32601,ALACHUA,"-82.31939272,29.64328610",17R LN 72289 79986,C,16001 002 000,FIRE STATION,EFFS,NO,NO,1260,PC,C3L,0,0,0,D,5,641,Concrete,479,1,0,7,-9163752.879946794,3457779.513899003
ALACHUA COUNTY FD ST 15,FL006651,8815 SW ARCHER RD,GAINESVILLE,32608,ALACHUA,"-82.43644934,29.58904961",17R LN 60883 74111,C,07061 007 001,FIRE STATION,EFFS,NO,NO,1260,PC,C3L,0,0,0,D,5,641,Concrete,479,1,0,7,-9176783.563373929,3450834.6223463863
ALACHUA COUNTY FRS 8,FL008055,5715 NE US HWY 301,HAWTHORNE,32694,ALACHUA,"-82.13456659,29.70689838",17R LN 90249 86846,C,18820 002 000,FIRE STATION,EFFS,NO,NO,1260,PC,C3L,0,0,0,D,5,641,Concrete,479,1,0,7,-9143178.12965012,3465929.726877041
ALACHUA CO FIRE ST 2,,3600 SW 23 St,GAINESVILLE,32608,ALACHUA,"-82.35595783,29.61934912",17R LN 68718 77375,,,FIRE STATION,EFFS,NO,NO,1260,PC,C3L,0,0,0,D,5,641,Concrete,479,1,0,7,-9167823.289259454,3454713.963172236
ALACHUA COUNTY FD ST 12,FL006638,1320 SE 43RD ST,GAINESVILLE,32641,ALACHUA,"-82.27287642,29.63878247",17R LN 76786 79437,C,16125 005 001,FIRE STATION,EFFS,NO,NO,1260,PC,C3L,0,0,0,D,5,641,Concrete,479,1,0,7,-9158574.708993154,3457202.6888211165
GAINESVILLE FD ST 5,FL006636,1244 NW 30TH AVE,GAINESVILLE,32609,ALACHUA,"-82.33850482,29.68031480",17R LN 70486 84111,M,08300 002 000,FIRE STATION,EFFS,NO,NO,1260,PC,C3L,0,0,0,D,5,641,Concrete,479,1,0,7,-9165880.428827273,3462523.125039875
GAINESVILLE FD ST 3,FL008053,900 NE WALDO RD,GAINESVILLE,32641,ALACHUA,"-82.30674589,29.65993415",17R LN 73534 81818,M,10515 010 001,FIRE STATION,EFFS,NO,NO,1260,PC,C3L,0,0,0,D,5,641,Concrete,479,1,0,7,-9162345.041791119,3459912.018246709
ALACHUA CO FRS 10,FL008053,900 NE WALDO RD,GAINESVILLE,32641,ALACHUA,"-82.30674589,29.65993415",17R LN 73534 81818,M,10515 010 001,FIRE STATION,EFFS,NO,NO,1260,PC,C3L,0,0,0,D,5,641,Concrete,479,1,0,7,-9162345.041791119,3459912.018246709
ALACHUA COUNTY FD ST 26 SUBSTATION,FL007286,704 NE CHOLOKKA BLVD,MICANOPY,32667,ALACHUA,"-82.27998208,29.50849416",17R LN 75939 65007,C,16637 000 000,FIRE STATION,EFFS,NO,NO,1260,PC,C3L,0,0,0,D,5,641,Concrete,479,1,0,7,-9159365.707466342,3440526.519439474
HIGH SPRINGS FD ST 29,FL007282,205 NW 1ST AVE,HIGH SPRINGS,32643,ALACHUA,"-82.59944557,29.82761126",17R LP 45461 00756,M,00676 002 000,FIRE STATION,EFFS,NO,NO,1260,PC,C3L,0,0,0,D,5,641,Concrete,479,1,0,7,-9194928.220559042,3481410.0685983445
ALACHUA COUNTY FIRE RESCUE STATION 20,FL007282,205 NW 1ST AVE,HIGH SPRINGS,32643,ALACHUA,"-82.59944557,29.82761126",17R LP 45461 00756,M,00676 002 000,FIRE STATION,EFFS,NO,NO,1260,PC,C3L,0,0,0,D,5,641,Concrete,479,1,0,7,-9194928.220559042,3481410.0685983445
GAINESVILLE FD ST 7,FL008054,5601 NW 43RD ST,GAINESVILLE,32653,ALACHUA,"-82.38810021,29.70642201",17R LN 65721 87061,M,06020 001 000,FIRE STATION,EFFS,NO,NO,1260,PC,C3L,0,0,0,D,5,641,Concrete,479,1,0,7,-9171401.362949636,3465868.673851658
ALACHUA COUNTY FD ST 30,FL006648,1401 SE COUNTY ROAD 234,GAINESVILLE,32641,ALACHUA,"-82.18703327,29.63841672",17R LN 85096 79308,C,17821 124 007,FIRE STATION,EFFS,NO,NO,1260,PC,C3L,0,0,0,D,5,641,Concrete,479,1,0,7,-9149018.693587637,3457155.844588967
ALACHUA COUNTY FRS 6,FL006640,5901 NW 34TH ST,GAINESVILLE,32653,ALACHUA,"-82.35290756,29.70979567",17R LN 69130 87394,C,07879 003 002,FIRE STATION,EFFS,NO,NO,1260,PC,C3L,0,0,0,D,5,641,Concrete,479,1,0,7,-9167483.735283405,3466301.0600839616
LACROSSE FIRE AND RESCUE STATION 22,FL006644,20421 N STATE ROAD 121,ALACHUA,32615,ALACHUA,"-82.40441773,29.84331315",17R LP 64327 02250,M,05565 000 000,FIRE STATION,EFFS,NO,NO,1260,PC,C3L,0,0,0,D,5,641,Concrete,479,1,0,7,-9173217.821284365,3483425.0683951317
GAINESVILLE FD ST 1,FL006637,525 S MAIN ST,GAINESVILLE,32601,ALACHUA,"-82.32454197,29.64678700",17R LN 71795 80380,M,12866 001 000,FIRE STATION,EFFS,NO,NO,1260,PC,C3L,0,0,0,D,5,641,Concrete,479,1,0,7,-9164326.0913589,3458227.92587703
ALACHUA COUNTY FD ST 21,FL006646,15040 NW US HWY 441,ALACHUA,32615,ALACHUA,"-82.49322052,29.79267387",17R LN 55675 96746,C,03376 002 000,FIRE STATION,EFFS,NO,NO,1260,PC,C3L,0,0,0,D,5,641,Concrete,479,1,0,7,-9183103.302683588,3476927.743077159
ALACHUA CO FIRE ST 28,FL006652,310 NW 250TH ST,NEWBERRY,32669,ALACHUA,"-82.60709509,29.64961533",17R LN 44447 81040,C,02041 000 000,FIRE STATION,EFFS,NO,NO,1260,PC,C3L,0,0,0,D,5,641,Concrete,479,1,0,7,-9195779.761312243,3458590.2035475667
