Name,Address,City,Zip,COUNTY,LONGLAT,USNG,OWNERSHIP,PARCELID,FACILITY_TYPE,x,y
CO A 146th ESB,505 NW 53rd Ave,Gainesville,32609,ALACHUA,"-82.33084371,29.70231953",17R LN 71255 86541,,,NATIONAL GUARD,-9165027.59807052,3465342.8970035524
HHT 1-152 CAV,164 ALABAMA AVE,PANAMA CITY,32403,BAY,"-85.58495590,30.06762532",16R FU 36392 27122,,07407-000-000,NATIONAL GUARD,-9527273.710711008,3512245.4131621397
ARMY AND AIR FORCE EXCHANGE SERVICE,640 SUWANNEE RD BLDG 916,PANAMA CITY,32403,BAY,"-85.58725071,30.06655062",16R FU 36172 27000,,07407-000-000,NATIONAL GUARD,-9527529.167225294,3512107.176272134
"SEADS, Det2",1129 FLORIDA AVE,PANAMA CITY,32403,BAY,"-85.58458984,30.06728785",16R FU 36427 27085,FEDERAL,07407-000-000,NATIONAL GUARD,-9527232.960230602,3512202.004242604
HHC 3RD BN 124TH IN,3121 N LISENBY AVE,PANAMA CITY,32405,BAY,"-85.68389160,30.20463178",16R FU 26679 42192,STATE,,NATIONAL GUARD,-9538287.182569237,3529880.5628227526
HQ 3RD BN 124TH IN,3121 N LISENBY AVE,PANAMA CITY,32405,BAY,"-85.68389160,30.20463178",16R FU 26679 42192,STATE,,NATIONAL GUARD,-9538287.182569237,3529880.5628227526
631st MAINT Co.,720 EDWARDS RD,STARKE,32091,BRADFORD,"-82.11662496,29.93805538",17R LP 92233 12445,STATE,,NATIONAL GUARD,-9141180.876332117,3495589.922908836
CO D 1ST BN 124TH IN,308 NORTH FISKE BLVD,COCOA,32922,BREVARD,"-80.74222813,28.36097557",17R NM 25259 37217,STATE,24 362900  751,NATIONAL GUARD,-8988183.720987346,3294561.2517370367
B/1-124th IN Bn,308 NORTH FISKE BLVD,COCOA,32922,BREVARD,"-80.74222813,28.36097557",17R NM 25259 37217,STATE,24 362900  751,NATIONAL GUARD,-8988183.720987346,3294561.2517370367
"BTRY A, 2ND BN, 265TH ADA",1889 STEWARD RD,MELBOURNE,32935,BREVARD,"-80.64632167,28.13800128",17R NM 34730 12540,,,NATIONAL GUARD,-8977507.462874986,3266383.7604608596
B/1-124th IN Bn,PATRICK AIR FORCE BASE,PATRICK AFB,32925,BREVARD,"-80.61007301,28.25046369",17R NM 38249 25009,,,NATIONAL GUARD,-8973472.280697638,3280588.386450723
715th MP Co,PATRICK AIR FORCE BASE,PATRICK AFB,32925,BREVARD,"-80.61007301,28.25046369",17R NM 38249 25009,,,NATIONAL GUARD,-8973472.280697638,3280588.386450723
715 MP CO,1889 STEWARD RD,MELBOURNE,32935,BREVARD,"-80.64632167,28.13800128",17R NM 34730 12540,,,NATIONAL GUARD,-8977507.462874986,3266383.7604608596
FMS #18,1300 White Dr,Titusville,32780,BREVARD,"-80.81593783,28.52832269",17R NM 18008 55743,,,NATIONAL GUARD,-8996389.047213089,3315747.96775954
114TH RANGE OPERATIONS SQUADRON,PATRICK AIR FORCE BASE,PATRICK AFB,32925,BREVARD,"-80.61007301,28.25046369",17R NM 38249 25009,,,NATIONAL GUARD,-8973472.280697638,3280588.386450723
356th QM Co,910 N DIXIE HIGHWAY,HOLLYWOOD,33020,BROWARD,"-80.14989995,26.01914041",17R NJ 85064 78080,STATE,514210010050,NATIONAL GUARD,-8922246.05010056,3001451.7588768275
