latitude_dd,longitude_dd,latitude,longitude,eventName,hwmTypeName,hwmQualityName,verticalDatumName,verticalMethodName,approvalMember,markerName,horizontalMethodName,horizontalDatumName,flagMemberName,surveyMemberName,site_no,siteDescription,sitePriorityName,networkNames,stateName,countyName,siteZone,sitePermHousing,site_latitude,site_longitude,hwm_id,waterbody,site_id,event_id,hwm_type_id,hwm_quality_id,hwm_locationdescription,survey_date,elev_ft,vdatum_id,vcollect_method_id,bank,approval_id,marker_id,height_above_gnd,hcollect_method_id,peak_summary_id,hwm_notes,hwm_environment,flag_date,stillwater,hdatum_id,flag_member_id,survey_member_id,uncertainty,hwm_uncertainty,hwm_label,last_updated,last_updated_by,horizontal_datums,vertical_collect_methods,horizontal_collect_methods,hwm_types,hwm_qualities,event,peak_summary,survey_member,marker,approval,files,site,vertical_datums,flag_member,Links
33.3783,-80.7005,33.3783,-80.7005,2023 Idalia,Seed line,Fair: +/- 0.20 ft,,,,Marker,Map (digital or paper),NAD83,Laura LaPolice,,SCORA33758,Cow Castle Creek at Country Road,,,SC,Orangeburg County,,No,33.3783,-80.7005,45572,Cow Castle Creek,33758,336,5,3,"Seed line on down stream side of bridge. In middle of the 
bridge on concrete
",,,,,N/A,,4,7.1,4,,High-water mark was found to be unreliable and not used.,Coastal,9/11/2023 4:00:00 AM,0,2,1598,,,0.2,HWM 1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
33.3783,-80.7005,33.3783,-80.7005,2023 Idalia,Seed line,Fair: +/- 0.20 ft,NAVD88,Static-GNSS,,Nail and HWM tag,Map (digital or paper),NAD83,Laura LaPolice,Andy Caldwell,SCORA33758,Cow Castle Creek at Country Road,,,SC,Orangeburg County,,No,33.3783,-80.7005,45573,Cow Castle Creek,33758,336,5,3," Seed line on down stream side of tree on the right bank of 
stream. 3 ft from the edge of bank
",9/26/2023 4:00:00 AM,128,2,7,Right,,6,,4,,,Riverine,9/11/2023 4:00:00 AM,0,2,1598,1381,0.272,0.2,HWM 2,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
33.3613,-80.6789,33.3613,-80.6789,2023 Idalia,Wash line,Poor: +/- 0.40 ft,,,,Stake,Map (digital or paper),NAD83,Laura LaPolice,,SCORA33757,Cow Castle Creek at Homestead Road (S-38-36),,,SC,Orangeburg County,,No,33.3613,-80.6789,45574,Cow Castle Creek,33757,336,12,4,Grass was bent over along where water was flowing and small amounts of debris were caught in the grass.,,,,,N/A,,7,0,4,,HWM was found to be unreliable and was not used.,Riverine,9/11/2023 4:00:00 AM,0,2,1598,,,0.4,HWM 1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
33.3613,-80.6789,33.3613,-80.6789,2023 Idalia,Seed line,Poor: +/- 0.40 ft,NAVD88,RT-GNSS,,Nail and HWM tag,Map (digital or paper),NAD83,Laura LaPolice,Andy Caldwell,SCORA33757,Cow Castle Creek at Homestead Road (S-38-36),,,SC,Orangeburg County,,No,33.3613,-80.6789,45575,Cow Castle Creek,33757,336,5,4,Small seed line on stream ward side of tree. Tree was on the right back about 20ft from the bank and about 50ft upstream from bridge,3/18/2024 4:00:00 AM,118.4,2,6,N/A,,6,1.5,4,,,Riverine,9/11/2023 4:00:00 AM,0,2,1598,1381,0.11,0.4,HWM 2,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
33.3783,-80.7005,33.3783,-80.7005,2023 Idalia,Seed line,Fair: +/- 0.20 ft,NAVD88,Static-GNSS,,Nail and HWM tag,Map (digital or paper),NAD83,Laura LaPolice,Andy Caldwell,SCORA33758,Cow Castle Creek at Country Road,,,SC,Orangeburg County,,No,33.3783,-80.7005,45576,Cow Castle Creek,33758,336,5,3,Seed line on strem ward side of tree on left bank. 12 ft from bank,9/26/2023 4:00:00 AM,128.2,2,7,Left,,6,1.4,4,,,Riverine,9/11/2023 4:00:00 AM,0,2,1598,1381,0.272,0.2,HWM 3,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
33.3552,-80.6681,33.3552,-80.6681,2023 Idalia,Seed line,VP: > 0.40 ft,NAVD88,RT-GNSS,,Nail and HWM tag,Map (digital or paper),NAD83,Laura LaPolice,Andy Caldwell,SCORA33792,Cow Castle Creek at SC 210,,,SC,Orangeburg County,,No,33.3552,-80.6681,45577,Cow Castle Creek,33792,336,5,5,mark is on the upstream side of tree 30ft from bank and about 200ft upstream of bridge. On right bank.,3/18/2024 4:00:00 AM,116.8,2,6,Right,,6,1.6,4,,,Riverine,9/11/2023 4:00:00 AM,0,2,1598,1381,0.11,0.5,HWM 1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
33.3552,-80.6681,33.3552,-80.6681,2023 Idalia,Seed line,VP: > 0.40 ft,,,,Nail and HWM tag,Phone/Car GPS,NAD83,Laura LaPolice,,SCORA33792,Cow Castle Creek at SC 210,,,SC,Orangeburg County,,No,33.3552,-80.6681,45578,Cow Castle Creek,33792,336,5,5,seed line on stream ward side of tree. 6 ft from bank and 60 ft down stream on right bank,,,,,N/A,,6,1.15,3,,This HWM was not found by survey crew.,Riverine,9/11/2023 4:00:00 AM,0,2,1598,,,0.5,HWM 2,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
33.3443,-80.5948,33.3443,-80.5948,2023 Idalia,Debris,Poor: +/- 0.40 ft,,,,Stake,Map (digital or paper),NAD83,Laura LaPolice,,SCORA33755,Cow Castle Creek at Wamer Road (S-38-170),,,SC,Orangeburg County,,No,33.3443,-80.5948,45579,Cow Castle Creek,33755,336,2,4,debris caught in long grass along right bank down stream of bridge. About 8ft downstream.,,,,,Right,,7,0.98,4,,HWM was not found by survey crew.,Riverine,9/12/2023 4:00:00 AM,0,2,1598,,,0.4,HMW 1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
33.3443,-80.5948,33.3443,-80.5948,2023 Idalia,Debris,Fair: +/- 0.20 ft,,,,Marker,Map (digital or paper),NAD83,Laura LaPolice,,SCORA33755,Cow Castle Creek at Wamer Road (S-38-170),,,SC,Orangeburg County,,No,33.3443,-80.5948,45580,Cow Castle Creek,33755,336,2,3,"line is on the first piling in the second row from the left bank on the upstream side of the
bridge. A black sharpie was used with a level and pink flagging was tied around piling.
Meas from ground was taken from the stream bed.",,,,,N/A,,4,4.7,4,,HWM was unreliable and was not used.,Riverine,9/12/2023 4:00:00 AM,0,2,1598,,,0.2,HWM 2,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
33.3435,-80.6153,33.3435,-80.6153,2023 Idalia,Debris,Poor: +/- 0.40 ft,,,,Nail and HWM tag,Map (digital or paper),NAD83,Laura LaPolice,,SCORA33756,Cow Castle Creek at Ebenezer Road (S-38-92),,,SC,Orangeburg County,,No,33.3435,-80.6153,45581,Cow Castle Creek,33756,336,2,4,"ring of grass around tree 9ft from bank on right side of the creek about 80ft down stream of bridge.
Pink flagging with green disk and nail. Pink flagging was hung above and on nail.",,,,,N/A,,6,1.5,4,,HWM was found to be unreliable and was not used.,Riverine,9/12/2023 4:00:00 AM,0,2,1598,,,0.4,HWM 1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
