Name,Address,City,Zip,COUNTY,X,Y,USNG,OWNERSHIP,PARCELID,NAME_OTHER,DESCRIPTION,LINK,FAC_STATUS,UAID,ACODE,AUSE,AOWNERSHIP,LAT,LONG,COMMENT,FACILITY_TYPE,x,y
RIMES-LAKECREST AIRPORT, , , ,ALACHUA,-82.15818111,29.46812306,17R LN 87701 60409,,,RIMES-LAKECREST AIRPORT,"RIMES, JOHN P.O. BOX 188  WORTHINGTON SPRINGS FL 32697",,Active,FL000216,35FA,Private,Private,29.46812305,-82.15818111,,AIRPORT,-9145806.88576607,3435363.604260296
LINK FIELD, ,GAINESVILLE,32606,ALACHUA,-82.49159959,29.69868079,17R LN 55697 86328,,04187 000 000,LINK FIELD,"ESKRIDGE, MARTY 14705 MAIN STREET  ALACHUA FL 32615",,Active,FL000221,63FD,Private,Private,29.69869444,-82.49148611,,AIRPORT,-9182922.860606937,3464876.5727647785
SULLIVAN FIELD, , , ,ALACHUA,-82.56527778,29.73416667,17R LN 48622 90355,,,SULLIVAN FIELD,20638 NW 78TH AVENUE  ALACHUA FL 32615,,Active,FL001374,63FA,Private,Private,29.73416666,-82.56527777,,AIRPORT,-9191124.679436702,3469425.009667542
PEACH ORCHARD AIRPORT, ,ARCHER,32618,ALACHUA,-82.49660692,29.55830848,17R LN 55012 70778,,04631 002 000,PEACH ORCHARD AIRPORT,"HELPLING, RAY 14208 SW ARCHER ROAD  ARCHER FL 32618",,Active,FL000238,FL66,Private,Private,29.55715277,-82.49674999,,AIRPORT,-9183480.274776174,3446899.9312155135
FLYING HORSEMAN RANCH AIRPORT, ,MELROSE,32666,ALACHUA,-82.095659,29.71523241,17R LN 94022 87733,,18794 025 000,FLYING HORSEMAN RANCH AIRPORT,"KTL HOLDINGS, LLC 810 NW 6TH STREET GAINESVILLE FL 32601",,Active,FL000574,8FD2,Private,Private,29.71524444,-82.09672222,,AIRPORT,-9138846.955791993,3466997.8923943834
SANTA FE RIVER RANCH AIRPORT, ,ALACHUA,32615,ALACHUA,-82.47858244,29.90951131,17R LP 57256 09677,,02775 000 000,SANTA FE RIVER RANCH AIRPORT,"DAVIS, SNEAD 29210 NW 122ND STREET  ALACHUA FL 32615-3240",,Active,FL000220,FA62,Private,Private,29.91008333,-82.47787499,,AIRPORT,-9181473.79822882,3491923.661340436
GLEIM FIELD, ,GAINESVILLE,32606,ALACHUA,-82.42631082,29.70258158,17R LN 62019 86680,,06043 001 000,GLEIM FIELD,"GLEIM, IRVIN P.O. BOX 12848, UNIVERSITY STN  GAINESVILLE FL 32604",,Active,FL000402,FD81,Private,Private,29.70248611,-82.42570833,,AIRPORT,-9175654.94841358,3465376.481342169
THRIFT AIRPORT, ,MACCLENNY,32063,BAKER,-82.13002778,30.34172222,17R LP 91383 57193,,052S22000000000143,THRIFT AIRPORT,"THRIFT, DALE 5671 HARLEY THRIFT RD.  MACCLENNY FL 32063-9552",,Active,FL000552,FL11,Private,Private,30.34172222,-82.13002777,,AIRPORT,-9142672.870934593,3547551.1108712927
CUYLER FIELD AIRPORT, ,SANDERSON,32087,BAKER,-82.22548411,30.36236758,17R LP 82232 59576,,321S21000000000020,CUYLER FIELD AIRPORT,"MILLER, CURTIS 10750 SOUTH RUNWAY CIRCLE  GLEN-ST. MARY FL 32040",,Active,FL000405,FD27,Private,Private,30.36238888,-82.22469444,,AIRPORT,-9153299.021135034,3550214.376572017
TYNDALL AFB, ,PANAMA CITY,32403,BAY,-85.57221076,30.06966497,16R FU 37617 27364,,07407-000-000,TYNDALL AFB,COMMAND POST 850-283-2155 U.S. AIR FORCE PANAMA CITY FL ,,Active,FL001009,PAM,Private,Military USAF,30.06996388,-85.57649444,,AIRPORT,-9525854.928381173,3512507.7730891155
COURT MARTIAL RANCH AIRPORT, , , ,BAY,-85.74576389,30.41408611,16R FU 20467 65338,,,COURT MARTIAL RANCH AIRPORT,"GARRETT, TOMMY 5801 HIGHWAY 79  VERNON FL 32462",,Active,FL000694,FD13,Private,Private,30.41408611,-85.74576388,,AIRPORT,-9545174.773787152,3556888.5751643265
TURKEYSCRATCH PLANTATION AIRPORT, , , ,BAY,-85.80833333,30.39166667,16R FU 14483 62788,,,TURKEYSCRATCH PLANTATION AIRPORT,N/A  LAMONT FL N/A,,Active,FL000531,4FL0,Private,Private,30.39166666,-85.80833333,,AIRPORT,-9552139.9724356,3553994.946047089
SANDY CREEK AIRPARK, ,PANAMA CITY,32404,BAY,-85.46242512,30.10242456,16R FU 48151 31132,,03945-000-000,SANDY CREEK AIRPARK,SANDY CREEK AIR PARK OWNERS ASSOC. 12901 PARK WAY PANAMA CITY FL 32404,,Active,FL000693,75FL,Private,Private,30.10222222,-85.46242222,,AIRPORT,-9513633.646771243,3516722.3711304776
STATE PRISON FIELD,NW STATE ROAD 16 ,STARKE,32091,BRADFORD,-82.17681735,30.05542406,17R LP 86557 25510,,00469-0-00200,STATE PRISON FIELD,"SUTTON, BRIAN FLORIDA DEPT OF CORRECTIONS 7819 NW 228TH STREET RAIFORD FL 32026-1000",,Active,FL000729,FL28,Private,Private,30.05487499,-82.17633055,,AIRPORT,-9147881.462449018,3510676.081081721
CAPE CANAVERAL AFS SKID STRIP, ,PATRICK AFB,32925,BREVARD,-80.56643623,28.46750057,17R NM 42443 49068,,,CAPE CANAVERAL AFS SKID STRIP,COMMAND POST 854-494-7001 U.S. AIR FORCE COCOA BEACH FL ,,Active,FL001014,XMR,Private,Military USAF,28.46750027,-80.56643888,,AIRPORT,-8968614.656073919,3308043.800546577
WHEELER FARMS PRIVATE AIRPORT, , , ,BREVARD,-80.51644167,27.8753,17R NL 47599 83482,,,WHEELER FARMS PRIVATE AIRPORT,4533 MICCO ROAD  MICCO FL 32976,,Active,FL000596,,Private,Private,27.87529999,-80.51644166,,AIRPORT,-8963049.286737554,3233261.049987871
PATRICK AFB,PATRICK AIR FORCE BASE,PATRICK AFB,32925,BREVARD,-80.6075511,28.2394536,17R NM 38501 23790,,,PATRICK AFB,COMMAND POST 854-494-7001 U.S. AIR FORCE COCOA BEACH FL ,,Active,FL001013,COF,Private,Military USAF,28.23945555,-80.60755277,,AIRPORT,-8973191.542566998,3279197.091234354
NASA SHUTTLE LANDING FACILITY,JOHN F. KENNEDY SPACE CENTER KENNEDY SPA,ORLANDO,32815,BREVARD,-80.69449607,28.61499561,17R NM 29865 65369,,,NASA SHUTTLE LANDING FACILITY,FL ,,Active,FL000954,TTS,Private,Military USAF,28.61499444,-80.69449444,,AIRPORT,-8982870.212134205,3326734.2709249705
ROCKLEDGE AIRPORT, ,ROCKLEDGE,32955,BREVARD,-80.71866603,28.29834146,17R NM 27584 30284,,25 362225    B   16,ROCKLEDGE AIRPORT,"MARDOSA,RONALD A. 500 BARNES BLVD.  ROCKLEDGE FL 32955",,Active,FL000943,21FA,Private,Private,28.29833333,-80.71861111,,AIRPORT,-8985560.79972935,3286640.158835181
CLARKSVILLE EXECUTIVE AIRPORT, ,ALTHA,32421,CALHOUN,-85.17934904,30.46383193,16R FU 74789 71591,,19-1N-09-0000-0007-0000,CLARKSVILLE EXECUTIVE AIRPORT,12759 NORTHWEST AIRPORT TRAIL  CLARKSVILLE FL 32430,,Active,FL000305,74FD,Private,Private,30.46408333,-85.17714166,,AIRPORT,-9482121.761219833,3563311.53549368
MARAN AIRPORT, , , ,CALHOUN,-85.38472222,30.52027778,16R FU 54980 77548,,,MARAN AIRPORT,22303 NW LONGLEAF  FOUNTAIN FL 32438,,Active,FL001108,68FD,Private,Private,30.52027777,-85.38472222,,AIRPORT,-9504983.799254157,3570603.547416987
STEEP HEAD FARM AIRPORT, ,CLARKSVILLE,32430,CALHOUN,-85.29930389,30.42088601,16R FU 63343 66652,,01-1S-11-0000-0006-0900,STEEP HEAD FARM AIRPORT,"MAYO, ROBERT P.O. BOX 49 CLARKSVILLE FL 32430",,Active,FL000304,FL15,Private,Private,30.42019444,-85.30047777,,AIRPORT,-9495475.074553927,3557766.355140212
CATTLE CREEK RANCH AIRPORT, ,ALTHA,32421,CALHOUN,-85.20733148,30.51413261,16R FU 72014 77124,,01-1N-10-0000-0010-0100,CATTLE CREEK RANCH AIRPORT,"BYRD, ANDREW 23620 NW STATE ROAD 73  ALTHA FL 32421",,Active,FL000227,50FD,Private,Private,30.51824999,-85.19881111,,AIRPORT,-9485236.751999142,3569809.4724094677
RON WOOD AIRPORT, ,ALTHA,32421,CALHOUN,-85.2904409,30.43088491,16R FU 64178 67773,,01-1S-11-0000-0001-0100,RON WOOD AIRPORT,"WOOD, RONAL P.O. BOX 150 6036 STATE ROAD 20 WEST CLARKSVILLE FL 32430",,Active,FL000306,5FD1,Private,Private,30.43194444,-85.28888888,,AIRPORT,-9494488.45045413,3559057.195396095
ADANA AIRFIELD, , , ,CHARLOTTE,-81.87094167,26.95258056,17R MK 13551 81480,,,ADANA AIRFIELD,5640 ACORN RANCH RD  PUNTA GORDA FL 33982,,Active,FL001450,40FL,Private,Private,26.95258055,-81.87094166,,AIRPORT,-9113831.537170146,3117548.564237039
