Name,Address,City,Zip,COUNTY,Notes,LONGLAT,USNG,OWNERSHIP,PARCELID,FACILITY_TYPE,TTL_BEDS,x,y
BISHOP GRADY VILLAS,401 BISHOP GRADY COURT,SAINT CLOUD,34770,,,"-81.31125000,28.25644000",17R MM 69469 25649,,,ASSISTED LIVING FACILITY,,-9051526.945798775,3281343.6466006055
Mercedes and Family ALF,4941 NW 183 Street,Miami Gardens,33055,, ,"-80.28290526,25.93999531",17R NJ 71802 69235,,,ASSISTED LIVING FACILITY,8,-8937052.133377353,2991651.0021772673
Mi Sublime Atardecer,20630 NW 37TH Court,Miami Gardens,33055,, ,"-80.26308894,25.96339201",17R NJ 73772 71837,,,ASSISTED LIVING FACILITY,6,-8934846.190552665,2994547.5930962525
VNA HOSPICE OF INDIAN RIVER INC,901 37TH STREET,VERO BEACH,32960,,5038096,"-80.39021600,27.66025700",17R NL 60143 59716,,,HOSPICE,12,-8948997.909840701,3206207.1026273617
SLC Health Department Complex,714 Avenue C,Fort Pierce,34950,,,"-80.32984321,27.44986536",17R NL 66223 36442,,,PUBLIC HEALTH OFFICE,0,-8942277.242012052,3179789.788568669
"JACKSON, RAYNYODA SHELONDA",1230 NW 5 AVENUE,HIGH SPRINGS, ,ALACHUA,6906358,"-82.60654500,29.83571200",17R LP 44787 01663,,,ADULT FAMILY CARE HOME,5,-9195718.525609126,3482449.5845757304
NORTH FLORIDA REHABILITATION AND SPECIAL,6700 NW 10TH PLACE,GAINESVILLE, ,ALACHUA,13690962,"-82.41367600,29.66153800",17R LN 63186 82117,,,SKILLED NURSING FACILITY,120,-9174248.446745927,3460117.4791733385
PALM GARDEN OF GAINESVILLE,227 SW 62ND BLVD,GAINESVILLE, ,ALACHUA,1408096,"-82.40689800,29.64989800",17R LN 63827 80819,,,SKILLED NURSING FACILITY,120,-9173493.923225315,3458626.411647597
PARKLANDS REHABILITATION AND NURSING CEN,1000 SW 16TH AVE,GAINESVILLE, ,ALACHUA,10050951,"-82.33606500,29.63659800",17R LN 70666 79264,,,SKILLED NURSING FACILITY,120,-9165608.829727458,3456922.911433488
WOODLANDS CARE CENTER OF ALACHUA COUNTY,7207 SW 24TH AVE,GAINESVILLE, ,ALACHUA,130471021,"-82.41920200,29.63057800",17R LN 62609 78692,,,SKILLED NURSING FACILITY,120,-9174863.598287433,3456151.9274214758
OAK HAMMOCK AT THE UNIVERSITY OF FLORIDA,2660 SW 53RD LN,GAINESVILLE, ,ALACHUA,130471032,"-82.35963800,29.60401600",17R LN 68342 75680,,,SKILLED NURSING FACILITY,42,-9168232.96411221,3452750.6705071307
GAINESVILLE HEALTH CARE CENTER,1311 SW 16TH ST,GAINESVILLE, ,ALACHUA,1568096,"-82.34295000,29.63788300",17R LN 70001 79414,,,SKILLED NURSING FACILITY,180,-9166375.26442273,3457087.4879207592
SIGNATURE HEALTHCARE OF GAINESVILLE,4000 SW 20TH AVE,GAINESVILLE, ,ALACHUA,1170096,"-82.38333900,29.63413800",17R LN 66086 79045,,,SKILLED NURSING FACILITY,120,-9170871.347336229,3456607.852561081
PARK MEADOWS HEALTH AND REHABILITATION C,3250 SW 41ST PL,GAINESVILLE, ,ALACHUA,1380096,"-82.37029400,29.61565800",17R LN 67325 76982,,,SKILLED NURSING FACILITY,154,-9169419.184523111,3454241.315154191
HAVEN HOSPICE,4200 NW 90th BOULEVARD ,GAINESVILLE,32606,ALACHUA,5023096,"-82.43799643,29.69320122",17R LN 60876 85655,,,HOSPICE,15,-9176955.784329103,3464174.365728725
SHANDS TEACHING HOSPITAL ESRD,1600 SW ARCHER RD,GAINESVILLE, ,ALACHUA,102312,"-82.34341500,29.63925400",17R LN 69958 79566,,,END-STAGE RENAL DISEASE,0,-9166427.028020665,3457263.0811832906
FMC DIALYSIS SERVICES ALACHUA,11550 RESEARCH DRIVE,ALACHUA, ,ALACHUA,102763,"-82.46941100,29.78203100",17R LN 57962 95537,,,END-STAGE RENAL DISEASE,0,-9180452.838552307,3475562.6177429017
DIALYSIS CLINIC INC,3850 NW 83RD STREET SUITE 101,GAINESVILLE, ,ALACHUA,102848,"-82.43031400,29.68823500",17R LN 61612 85095,,,END-STAGE RENAL DISEASE,0,-9176100.5804184,3463537.9790606587
MERIDIAN BEHAVIORAL HEALTHCARE,3807 SOUTHWEST 34TH STREET,GAINESVILLE, ,ALACHUA,1466,"-82.37237000,29.61820300",17R LN 67127 77266,,,RESIDENTIAL TREATMENT FACILITY,14,-9169650.283848735,3454567.200429134
MERIDIAN BEHAVIORAL HEALTHCARE,3010 SOUTHWEST 35TH PLACE,GAINESVILLE, ,ALACHUA,1464,"-82.36908300,29.62120700",17R LN 67450 77596,,,RESIDENTIAL TREATMENT FACILITY,8,-9169284.376706682,3454951.8710141564
HAWTHORNE MEDICAL CENTER PA,21815 SE 71ST AVE,HAWTHORNE, ,ALACHUA,108996,"-82.08935100,29.58864300",17R LN 94500 73700,,,RURAL HEALTH CLINIC,0,-9138144.752885573,3450782.571268622
ACORN CLINIC,23320 NORTH STATE ROAD 235,BROOKER, ,ALACHUA,103911,"-82.34182788,29.86987107",17R LP 70409 05121,,,RURAL HEALTH CLINIC,0,-9166250.350571219,3486833.9250792596
CHILDREN'S MEDICAL CENTER - ALACHUA,14861 NW HWY 441,ALACHUA, ,ALACHUA,108960,"-82.48892500,29.79222600",17R LN 56090 96691,,,RURAL HEALTH CLINIC,0,-9182625.12707155,3476870.293932795
ARCHER FAMILY HEATH CARE,16939 SW 134TH AVE,ARCHER, ,ALACHUA,683802,"-82.52266000,29.53100300",17R LN 52448 67785,,,RURAL HEALTH CLINIC,0,-9186380.490049448,3443405.987191527
HIGH SPRINGS PEDIATRICS LLC,210 NW 1ST AVE,HIGH SPRINGS, ,ALACHUA,103889,"-82.59912573,29.82818309",17R LP 45492 00819,,,RURAL HEALTH CLINIC,0,-9194892.61673437,3481483.4450716837
LASER & OUTPATIENT SURGERY CENTER,6925 NW 11TH PLACE,GAINESVILLE,32606,ALACHUA,1253,"-82.41664200,29.66340500",17R LN 62902 82327,,,AMBULATORY SURGICAL CENTER,0,-9174578.620327737,3460356.6553061716
NORTH FLORIDA SURGICAL PAVILION,6705 NW 10TH PLACE,GAINESVILLE,32605,ALACHUA,1008,"-82.41332300,29.66150100",17R LN 63220 82112,,,AMBULATORY SURGICAL CENTER,0,-9174209.150943521,3460112.739267172
NORTH FLORIDA ENDOSCOPY CENTER,6400 NEWBERRY RD,GAINESVILLE,32605,ALACHUA,1085,"-82.41030300,29.65974400",17R LN 63510 81914,,,AMBULATORY SURGICAL CENTER,0,-9173872.966050992,3459887.659115817
SURGERY CENTER OF NORTH FLORIDA,6520 NW 9TH BLVD,GAINESVILLE,32605,ALACHUA,922,"-82.41256800,29.66342100",17R LN 63296 82324,,,AMBULATORY SURGICAL CENTER,0,-9174125.104711786,3460358.705127059
BIRTH & WELLNESS CENTER OF GAINESVILLE,810 EAST UNIVERSITY AVE,GAINESVILLE, ,ALACHUA,335,"-82.31584200,29.65196800",17R LN 72643 80945,,,BIRTH CENTER,0,-9163357.615711873,3458891.563134659
MERIDIAN BEHAVIORAL HEALTHCARE,4300 SOUTHWEST 13TH STREET,GAINESVILLE, ,ALACHUA,1459,"-82.34138200,29.61173600",17R LN 70120 76515,,,CRISIS STABILIZATION UNIT,22,-9166200.715452107,3453739.1220408906
SHANDS AT THE UNIV OF FLORIDA OUTPATIENT,2409 SW ARCHER RD,GAINESVILLE, ,ALACHUA,103503,"-82.35943100,29.63320700",17R LN 68400 78914,,,END-STAGE RENAL DISEASE,0,-9168209.92098405,3456488.61893546
BMA GAINESVILLE EAST,720 SW 2ND AVE STE 250,GAINESVILLE, ,ALACHUA,102613,"-82.33196200,29.65029800",17R LN 71081 80777,,,END-STAGE RENAL DISEASE,0,-9165152.085857432,3458677.648181757
BMA OF GAINESVILLE,1775 NW 80TH BLVD,GAINESVILLE, ,ALACHUA,102512,"-82.42937300,29.66946200",17R LN 61678 83014,,,END-STAGE RENAL DISEASE,0,-9175995.828804452,3461132.631172067
FMC DIALYSIS SERVICES OF HAWTHORNE,5837 SE US HIGHWAY 301,HAWTHORNE, ,ALACHUA,102796,"-82.08694000,29.60007300",17R LN 94746 74964,,,END-STAGE RENAL DISEASE,0,-9137876.361547772,3452245.8467781856
