Name,Address,City,Zip,COUNTY,LONGLAT,USNG,DESCRIPT,PARCELID,FACILITY_TYPE,x,y
FLORIDA BIBLE CHURCH,9300 PEMBROKE RD,HOLLYWOOD,33025,BROWARD,"-80.26816996,25.99284586",17R NJ 73245 75096,,514120090010,PUBLIC SCHOOL,-8935411.80682447,2998194.8993597035
The Villages Elementary School - Intermediate Center,521 OLD SCHOOL RD  ,THE VILLAGES,32162,SUMTER,"-82.02784974,28.92640774",17R LN 99813 00266,,,PUBLIC SCHOOL,-9131298.464422215,3366282.7190811187
JACKSONVILLE YOUTH CENTER,202 CENTURY 21 DR STE 1,JACKSONVILLE,32216,DUVAL,"-81.57255819,30.31165595",17R MP 44951 53459,,,PUBLIC SCHOOL,-9080615.640903724,3543673.5446216753
ANGLEWOOD CENTER,1809 PANTHER LN,FORT PIERCE,34947,ST. LUCIE,"-80.37609388,27.46411772",17R NL 61645 37997,,,PUBLIC SCHOOL,-8947425.842349555,3181577.755218764
ELEMENTARY SCHOOL M,2675 PACETTI RD,SAINT AUGUSTINE,32092,ST. JOHNS,"-81.49763841,29.92189772",17R MP 51966 10235,,,PUBLIC SCHOOL,-9072275.608322438,3493514.468593124
EMERALD HILLS SCHOOL,3270 STIRLING ROAD,HOLLYWOOD,33021,BROWARD,"-80.17537875,26.04736267",17R NJ 82494 81189,,,PUBLIC SCHOOL,-8925082.336798204,3004948.196950142
ADULT EDUCATION CENTER,5633 OCEAN SHORE BLVD,PALM COAST ,32137,FLAGLER,,,,,PUBLIC SCHOOL,-9039053.092616044,3453252.3679485754
PARAGON ACADEMY OF TECHNOLOGY,502 N 28TH AVE,HOLLYWOOD,33020,BROWARD,"-80.16462881,26.01521420",17R NJ 83593 77636,,514216025950,PUBLIC SCHOOL,-8923885.65858576,3000965.40877022
PARAGON ACADEMY OF TECHNOLOGY,502 N 28TH AVE,HOLLYWOOD,33020,BROWARD,"-80.16462881,26.01521420",17R NJ 83593 77636,,514216025950,PUBLIC SCHOOL,-8923885.65858576,3000965.40877022
GLOBAL LEARNING ACADEMY,100 N P ST,PENSACOLA,32505,ESCAMBIA,"-87.24189969,30.42350061",16R DU 76769 65739,,,PUBLIC SCHOOL,-9711723.848794827,3558103.882744401
CHAMPIONSHIP ACADEMY OF DISTINCTION AT HOLLYWOOD,1100 HILLCREST DRIVE,HOLLYWOOD,33021,BROWARD,,,,,PUBLIC SCHOOL,-8926683.42453912,2999140.6444798205
