Name,Address,City,Zip,COUNTY,LONGLAT,USNG,FACILITY_TYPE,SHELTER_TYPE,RPC_Region,Year_Built,Building,AS_IS_A_Retrofit_R,Generator_Type,PreMitigation_Capacity_Spaces,PreMitigation_Square_Footage,EHPA_Capacity_Gained_Spaces,EHPA_Square_Footage_Gained,Retrofit_Capacity_Gained_Spaces,Retrofit_Square_Footage_Gained,Risk_Capacity_Spaces,Risk_Square_Footage,Planned_Usage_Spaces,FundingSource_F_Federal_State_S,Evacuation_Zone,SURGE_ZONE,FLOOD_ZONE,EHPA,General_Pop,SPECIAL_NEEDS,Pet_Friendly,Does_not_meet_ARC_4496,Survey_Needed,x,y
Easton-Newberry Sports Complex,24880 NW 16th Ave,Newberry,32669,ALACHUA,"-82.60425502, 29.66906401",17R LN 44752 83191,SHELTER,RISK,3,2008,1 Main,R, ,0,0,0,0,593,11860,593,11860,0,S-1617-2010,No,No,No,No,Yes, , ,Yes, ,-9195463.605733518,3461081.6420318834
University of Florida,3150 Hull Rd,Gainesville,32611,ALACHUA,"-82.36826304, 29.63818101",17R LN 67551 79476,SHELTER,RISK,3,2007,110 Steinbrenner Hall 1st Floor,R, ,163,3261,0,0,0,0,163,3261,0,S,No,No,No,No,Yes, , , , ,-9169193.098613169,3457125.6561222463
Meadowbrook ES,11525 NW 39th Ave,Gainesville,32606,ALACHUA,"-82.46277603, 29.68814902",17R LN 58471 85125,SHELTER,RISK,3,2011,1 Media / Classroom,A, ,0,0,900,18000,0,0,900,18000,405,L,No,No,No,Yes,Yes, , , , ,-9179714.23748482,3463526.960984911
Sidney Lanier Center,312 NW 16th Ave,Gainesville,32601,ALACHUA,"-82.32800802, 29.66689901",17R LN 71485 82613,SHELTER,RISK,3,2001,11 Classroom,R, ,0,0,0,0,552,11040,552,11040,0, ,No,No,No,No,Yes, , , , ,-9164711.93112513,3460804.274436065
Lawton M Chiles ES,2525 School House Rd,Gainesville,32608,ALACHUA,"-82.44516599, 29.62869098",17R LN 60093 78514,SHELTER,RISK,3,1999,3 Cafeteria,R, ,0,0,0,0,266,5320,266,5320,0,S 12/13 2624,No,No,No,No,Yes, , , , ,-9177753.896451304,3455910.2653296585
William S Talbot ES,5701 NW 43rd St,Gainesville,32608,ALACHUA,"-82.38745399, 29.70747701",17R LN 65785 87177,SHELTER,RISK,3,1984,3 Cafeteria,R, ,0,0,0,0,189,3789,189,3789,172,S-1508-2005,No,No,No,No,Yes, , , , ,-9171329.425831717,3466003.8870853754
Lawton M Chiles ES,2525 School House Rd,Gainesville,32608,ALACHUA,"-82.44516599, 29.62869098",17R LN 60093 78514,SHELTER,RISK,3,1999,2 Classroom,R, ,0,0,0,0,589,11780,589,11780,0,S 12/13 2624,No,No,No,No,Yes, , , , ,-9177753.896451304,3455910.2653296585
Oakview MS,1203 SW 250th St,Newberry,32669,ALACHUA,"-82.60579703, 29.64099800",17R LN 44559 80083,SHELTER,RISK,3,1993,4 Classroom,R, ,0,0,0,0,457,9148,457,9148,405,S-1508-2005,No,No,No,No,Yes, , ,Yes, ,-9195635.262499154,3457486.450759906
Waldo Community School,13588 NE 148th Ave,Waldo,32694,ALACHUA,"-82.17813032, 29.79119606",17R LN 86130 96230,SHELTER,RISK,3,2000,6 Classroom,R, ,0,0,0,0,278,5567,278,5567,0,S-1621X,No,No,No,No,Yes, , ,Yes, ,-9148027.621641412,3476738.1813626727
MLK Center,1028 NE 14th St,Gainesville,32602,ALACHUA,"-82.30778501, 29.66118900",17R LN 73435 81958,SHELTER,RISK,3,1996,1 Gymnasium / Multipurpose,R, ,0,0,0,0,400,8000,400,8000,0, ,No,No,No,No,Yes, , , , ,-9162460.715109594,3460072.7704200987
