Name,Address,City,Zip,COUNTY,LONGLAT,USNG,FACILITY_TYPE,SHELTER_TYPE,RPC_Region,Year_Built,Building,AS_IS_A_Retrofit_R,Generator_Type,PreMitigation_Capacity_Spaces,PreMitigation_Square_Footage,EHPA_Capacity_Gained_Spaces,EHPA_Square_Footage_Gained,Retrofit_Capacity_Gained_Spaces,Retrofit_Square_Footage_Gained,Risk_Capacity_Spaces,Risk_Square_Footage,Planned_Usage_Spaces,FundingSource_F_Federal_State_S,Evacuation_Zone,SURGE_ZONE,FLOOD_ZONE,EHPA,General_Pop,SPECIAL_NEEDS,Pet_Friendly,Does_not_meet_ARC_4496,Survey_Needed,x,y
FW Buchholz Senior HS,5510 NW 27th Ave,Gainesville,32606,ALACHUA,"-82.40191101, 29.67851599",17R LN 64348 83984,SHELTER,RISK,3,1999,8 Classroom 1st Floor,R,"Yes, unknown kW",0,0,0,0,259,15569,259,15569,231,S-1508-2005,No,No,No,No, ,Yes, , , ,-9172938.774257066,3462292.644760955
Gainesville Senior Center,5701 NW 34th Blvd,Gainesville,32653,ALACHUA,"-82.35301702, 29.70770001",17R LN 69117 87162,SHELTER,RISK,3,2011,Main,R, ,47,2808,0,0,74,4431,47,2808,0,S 14-SR-94-03-11-02-492,No,No,No,No, ,Yes, , , ,-9167495.920440111,3466032.467950056
Westwood MS,3215 NW 15th Ave,Gainesville,32605,ALACHUA,"-82.37054501, 29.66503801",17R LN 67365 82455,SHELTER,RISK,3,2004,18 Cafeteria,A,"Yes, unknown kW",0,0,57,3403,0,0,57,3403,120, ,No,No,No,Yes, ,Yes, , , ,-9169447.1266862,3460565.859699969
Alachua ES,13800 NW 152 Pl,Alachua,32615,ALACHUA,"-82.49239802, 29.79456302",17R LN 55757 96955,SHELTER,RISK,3,2008,6 Classroom,A, ,0,0,0,0,115,6920,115,6920,0, ,No,No,No,No, ,Yes, , , ,-9183011.741366033,3477170.073581787
Marjorie K Rawlings ES,3500 NE 15th St,Gainesville,32609,ALACHUA,"-82.30691404, 29.68426199",17R LN 73548 84514,SHELTER,RISK,3,2006,4 Cafeteria,A, ,0,0,69,4145,0,0,69,4145,120, ,No,No,No,Yes, ,Yes, , , ,-9162363.759916551,3463028.8877290306
Ed Frasier Memorial Hospital,159 N 3rd St,Macclenny,32063,BAKER,"-82.11875004, 30.28512999",17R LP 92405 50910,SHELTER,RISK,4,1997,Main,A, ,0,0,0,0,0,0,79,4740,79, ,No,No,No,No, ,Yes, , , ,-9141417.438887719,3540253.5502042742
Bozeman Learning Center,13410 SR 77,Panama City,32409,BAY,"-85.68895471, 30.39417873",16R FU 25949 63194,SHELTER,RISK,1,2000,9 Cafeteria,A,HW 600KW,0,0,110,8277,0,0,138,8277,108,EHPA,No,No,No,Yes, ,Yes,Yes, , ,-9538850.80451574,3554319.1398440883
Bozeman Learning Center,13410 SR 77,Panama City,32409,BAY,"-85.68895471, 30.39417873",16R FU 25949 63194,SHELTER,RISK,1,2000,8 Gym,A,HW 600KW,0,0,191,11466,0,0,191,11466,0,HMGP / EHPA,No,No,No,Yes, ,Yes,Yes, , ,-9538850.80451574,3554319.1398440883
Starke ES,1000 W Weldon St,Starke,32091,BRADFORD,"-82.12257998, 29.95120000",17R LP 91673 13907,SHELTER,RISK,3,1996,4 Cafeteria,A,"Yes, unknown kW",0,0,0,0,66,3973,66,3973,66,"L, S, HMGP",No,No,No,No, ,Yes, , , ,-9141843.786245741,3497278.5995742497
Starke ES,1000 W Weldon St,Starke,32091,BRADFORD,"-82.12257998, 29.95120000",17R LP 91673 13907,SHELTER,RISK,3,1996,3 Classroom,A,"Yes, unknown kW",0,0,0,0,96,5749,96,5749,96,"L, S, HMGP",No,No,No,No, ,Yes, , , ,-9141843.786245741,3497278.5995742497
