Name,Address,City,Zip,COUNTY,X,Y,LONGLAT,USNG,OWNERSHIP,PARCELID,FACILITY_TYPE,x,y
U.S. COAST GUARD STATION,,PANAMA CITY,32408,BAY,-85.75506058,30.16991497,"-85.75506058,30.16991497",16R FU 19871 38268,,30160-000-000,COAST GUARD,-9546209.67635764,3525409.579664145
US COAST GUARD - PORT CANAVERAL STATION,9235 GROUPER RD,CAPE CANAVERAL,32920,BREVARD,-80.62145586,28.4160511,"-80.62145586,28.41605110",17R NM 37075 43350,FEDERAL,24 371000    1,COAST GUARD,-8974739.412974078,3301530.3026857325
U.S. COAST GUARD STATION,,FORT LAUDERDALE,33316,BROWARD,-80.11333329,26.08833329,"-80.11333329,26.08833329",17R NJ 88671 85767,,504224000000,COAST GUARD,-8918175.46750118,3010025.518802031
U.S. COAST GUARD STATION,4200 OCEAN ST,ATLANTIC BEACH,32233,DUVAL,-81.43462378,30.38785501,"-81.43462378,30.38785501",17R MP 58245 61844,FEDERAL,1682650000R,COAST GUARD,-9065260.8515932,3553503.049721645
U.S. COAST GUARD STATION,,PENSACOLA,32508,ESCAMBIA,-87.29027127,30.3450822,"-87.29027127,30.34508220",16R DU 72101 57059,,,COAST GUARD,-9717108.54867299,3547984.5117055965
U.S. COAST GUARD STATION,,FORT MYERS BEACH,33931,LEE,-81.94555388,26.46161753,"-81.94555388,26.46161753",17R MK 05741 27153,,19462400000210050,COAST GUARD,-9122137.330229077,3056367.5000397777
U.S. COAST GUARD STATION,5800 RIVERSIDE DR,YANKEETOWN,34498,LEVY,-82.71200715,29.0320795,"-82.71200715,29.03207950",17R LN 33288 12748,,16E17S05      20000 0190,COAST GUARD,-9207458.51858337,3379729.6703959876
U.S. COAST GUARD STATION,,BRADENTON,34210,MANATEE,-82.68674725,27.46643297,"-82.68674725,27.46643297",17R LL 33331 39230,FEDERAL,7683302159,COAST GUARD,-9204646.599750886,3181868.2266226993
U.S. COAST GUARD STATION,100 MACARTHUR CAUSEWAY.,MIAMI BEACH,33139,MIAMI-DADE,-80.14494685,25.77111105,"-80.14494685,25.77111105",17R NJ 85738 50614,FEDERAL,0242040000020,COAST GUARD,-8921694.672936859,2970759.5738711236
U.S. COAST GUARD STATION,1800 OVERSEAS HWY,MARATHON,33050,MONROE,-81.10608585,24.71006115,"-81.10608585,24.71006115",17R MH 89269 32848,FEDERAL,0966 32 00102580000000,COAST GUARD,-9028688.17657454,2840173.969601878
U.S. COAST GUARD STATION,183 PALERMO DR,ISLAMORADA,33036,MONROE,-80.58670518,24.95367362,"-80.58670518,24.95367362",17R NH 41721 59881,FEDERAL,1363 37 00405960000000,COAST GUARD,-8970870.98489053,2870055.5437731748
U.S. COAST GUARD STATION,TRUMBO RD & PEARY CT,KEY WEST,33040,MONROE,-81.79875116,24.56610356,"-81.79875116,24.56610356",17R MH 19115 17138,FEDERAL,3267 25 00001750000000,COAST GUARD,-9105795.326780897,2822543.5948522445
U.S. COAST GUARD STATION,,FORT WALTON BEACH,32548,OKALOOSA,-86.52598282,30.39133273,"-86.52598282,30.39133273",16R EU 45537 62244,,00-2S-24-0000-0001-0000,COAST GUARD,-9632028.348229535,3553951.8506244435
U.S. COAST GUARD STATION,,WEST PALM BEACH,33404,PALM BEACH,-80.04500002,26.77166672,"-80.04500002,26.77166672",17R NK 94943 61502,,00434227000007000,COAST GUARD,-8910568.643226119,3094973.3711817074
U.S. COAST GUARD STATION,1375 GULF BLVD,CLEARWATER BEACH,33767,PINELLAS,-82.83334436,27.94760463,"-82.83334436,27.94760463",17R LL 19636 92750,,,COAST GUARD,-9220965.714977685,3242369.5362060945
U.S. COAST GUARD STATION,8TH AVE SE,SAINT PETERSBURG,33701,PINELLAS,-82.62695054,27.76200358,"-82.62695054,27.76200358",17R LL 39671 71899,,,COAST GUARD,-9197990.059762372,3219000.8874771637
U.S. COAST GUARD AIR STATION,4400 RESCUE WAY,CLEARWATER,33762,PINELLAS,-82.69460031,27.9116817,"-82.69460031,27.91168170",17R LL 33233 88573,COUNTY,16 29 34 00110 000 0000,COAST GUARD,-9205520.797818463,3237843.429347037
U.S. COAST GUARD STATION,,FORT PIERCE,34949,ST. LUCIE,-80.30709475,27.46394771,"-80.30709475,27.46394771",17R NL 68463 38014,FEDERAL,2402-131-0001-000-0,COAST GUARD,-8939744.895112444,3181556.4259560686
COAST GUARD LESSOR,,NOKOMIS,34275,SARASOTA,-82.46939024,27.12312776,"-82.46939024,27.12312776",17R LL 54363 00924,SPECIAL TAXING DISTRICT,0174-02-0011,COAST GUARD,-9180450.52754034,3138863.3751800074
U.S. COAST GUARD STATION,,VENICE,34285,SARASOTA,-82.45081933,27.07742368,"-82.45081933,27.07742368",17R LK 56146 95839,FEDERAL,0178-17-0001,COAST GUARD,-9178383.223261042,3133148.1490886933
U.S. COAST GUARD STATION,2999 N PENNISULA AVE,NEW SMYRNA BEACH,32169,VOLUSIA,-80.91462565,29.06422844,"-80.91462565,29.06422844",17R NN 08310 15104,FEDERAL,34163200000010,COAST GUARD,-9007374.924789364,3383823.4190403116
