,latitude,longitude,eventName,hwmTypeName,hwmQualityName,horizontalMethodName,horizontalDatumName,siteDescription,stateName,countyName,sitePermHousing,site_latitude,site_longitude,hwm_id,waterbody,site_id,event_id,hwm_type_id,hwm_quality_id,hwm_locationdescription,elev_ft,vdatum_id,vcollect_method_id,height_above_gnd,hcollect_method_id,hwm_notes,hwm_environment,flag_date,stillwater,hdatum_id,uncertainty,hwm_uncertainty,hwm_label
0,33.3783,-80.7005,2023 Idalia,Seed line,Fair: +/- 0.20 ft,Map (digital or paper),NAD83,Cow Castle Creek at Country Road,SC,Orangeburg County,No,33.3783,-80.7005,45572,Cow Castle Creek,33758,336,5,3,"Seed line on down stream side of bridge. In middle of the 
bridge on concrete
",,,,7.1,4,High-water mark was found to be unreliable and not used.,Coastal,9/11/2023 4:00:00 AM,0,2,,0.2,HWM 1
1,33.3783,-80.7005,2023 Idalia,Seed line,Fair: +/- 0.20 ft,Map (digital or paper),NAD83,Cow Castle Creek at Country Road,SC,Orangeburg County,No,33.3783,-80.7005,45573,Cow Castle Creek,33758,336,5,3," Seed line on down stream side of tree on the right bank of 
stream. 3 ft from the edge of bank
",128.0,2.0,7.0,,4,,Riverine,9/11/2023 4:00:00 AM,0,2,0.272,0.2,HWM 2
2,33.3613,-80.6789,2023 Idalia,Wash line,Poor: +/- 0.40 ft,Map (digital or paper),NAD83,Cow Castle Creek at Homestead Road (S-38-36),SC,Orangeburg County,No,33.3613,-80.6789,45574,Cow Castle Creek,33757,336,12,4,Grass was bent over along where water was flowing and small amounts of debris were caught in the grass.,,,,0.0,4,HWM was found to be unreliable and was not used.,Riverine,9/11/2023 4:00:00 AM,0,2,,0.4,HWM 1
3,33.3613,-80.6789,2023 Idalia,Seed line,Poor: +/- 0.40 ft,Map (digital or paper),NAD83,Cow Castle Creek at Homestead Road (S-38-36),SC,Orangeburg County,No,33.3613,-80.6789,45575,Cow Castle Creek,33757,336,5,4,Small seed line on stream ward side of tree. Tree was on the right back about 20ft from the bank and about 50ft upstream from bridge,118.4,2.0,6.0,1.5,4,,Riverine,9/11/2023 4:00:00 AM,0,2,0.11,0.4,HWM 2
4,33.3783,-80.7005,2023 Idalia,Seed line,Fair: +/- 0.20 ft,Map (digital or paper),NAD83,Cow Castle Creek at Country Road,SC,Orangeburg County,No,33.3783,-80.7005,45576,Cow Castle Creek,33758,336,5,3,Seed line on strem ward side of tree on left bank. 12 ft from bank,128.2,2.0,7.0,1.4,4,,Riverine,9/11/2023 4:00:00 AM,0,2,0.272,0.2,HWM 3
5,33.3552,-80.6681,2023 Idalia,Seed line,VP: > 0.40 ft,Map (digital or paper),NAD83,Cow Castle Creek at SC 210,SC,Orangeburg County,No,33.3552,-80.6681,45577,Cow Castle Creek,33792,336,5,5,mark is on the upstream side of tree 30ft from bank and about 200ft upstream of bridge. On right bank.,116.8,2.0,6.0,1.6,4,,Riverine,9/11/2023 4:00:00 AM,0,2,0.11,0.5,HWM 1
6,33.3552,-80.6681,2023 Idalia,Seed line,VP: > 0.40 ft,Phone/Car GPS,NAD83,Cow Castle Creek at SC 210,SC,Orangeburg County,No,33.3552,-80.6681,45578,Cow Castle Creek,33792,336,5,5,seed line on stream ward side of tree. 6 ft from bank and 60 ft down stream on right bank,,,,1.15,3,This HWM was not found by survey crew.,Riverine,9/11/2023 4:00:00 AM,0,2,,0.5,HWM 2
7,33.3443,-80.5948,2023 Idalia,Debris,Poor: +/- 0.40 ft,Map (digital or paper),NAD83,Cow Castle Creek at Wamer Road (S-38-170),SC,Orangeburg County,No,33.3443,-80.5948,45579,Cow Castle Creek,33755,336,2,4,debris caught in long grass along right bank down stream of bridge. About 8ft downstream.,,,,0.98,4,HWM was not found by survey crew.,Riverine,9/12/2023 4:00:00 AM,0,2,,0.4,HMW 1
8,33.3443,-80.5948,2023 Idalia,Debris,Fair: +/- 0.20 ft,Map (digital or paper),NAD83,Cow Castle Creek at Wamer Road (S-38-170),SC,Orangeburg County,No,33.3443,-80.5948,45580,Cow Castle Creek,33755,336,2,3,"line is on the first piling in the second row from the left bank on the upstream side of the
bridge. A black sharpie was used with a level and pink flagging was tied around piling.
Meas from ground was taken from the stream bed.",,,,4.7,4,HWM was unreliable and was not used.,Riverine,9/12/2023 4:00:00 AM,0,2,,0.2,HWM 2
9,33.3435,-80.6153,2023 Idalia,Debris,Poor: +/- 0.40 ft,Map (digital or paper),NAD83,Cow Castle Creek at Ebenezer Road (S-38-92),SC,Orangeburg County,No,33.3435,-80.6153,45581,Cow Castle Creek,33756,336,2,4,"ring of grass around tree 9ft from bank on right side of the creek about 80ft down stream of bridge.
Pink flagging with green disk and nail. Pink flagging was hung above and on nail.",,,,1.5,4,HWM was found to be unreliable and was not used.,Riverine,9/12/2023 4:00:00 AM,0,2,,0.4,HWM 1
10,33.3435,-80.6153,2023 Idalia,Debris,Poor: +/- 0.40 ft,Map (digital or paper),NAD83,Cow Castle Creek at Ebenezer Road (S-38-92),SC,Orangeburg County,No,33.3435,-80.6153,45582,Cow Castle Creek,33756,336,2,4,"very small amount of debris on tree on stream ward side. About35ft upstream of bridge and 30 ft from the bank.

Pink flagging with green disk used. Flagging hung above and in smaller tree closer to
bank of mark can be found.",,,,2.6,4,HWM was found to be unreliable and was not used.,Riverine,9/12/2023 4:00:00 AM,0,2,,0.4,HWM 2
11,33.3435,-80.6153,2023 Idalia,Seed line,Poor: +/- 0.40 ft,Map (digital or paper),NAD83,Cow Castle Creek at Ebenezer Road (S-38-92),SC,Orangeburg County,No,33.3435,-80.6153,45583,Cow Castle Creek,33756,336,5,4,"there are 2 channels and tree is on the right bank of the north channel 2 ft from edge of water. About 60ft upstream of bridge. very few seeds on tree.

pink flagging with green disk used. Flagging tied above and to smaller tree closer to
bridge to help indicate where mark is.",,,,1.3,4,HWM was found to be unreliable and was not used.,Riverine,9/12/2023 4:00:00 AM,0,2,,0.4,HWM 3
12,33.3467,-80.5779,2023 Idalia,Debris,Poor: +/- 0.40 ft,Map (digital or paper),NAD83,Cow Castle Creek at I-26,SC,Orangeburg County,No,33.3467,-80.5779,45584,Cow Castle Creek,33762,336,2,4,"debris line on ground. Under I-26 south bound bridge on the right bank near first row of pilings from the right end of bridge. Near most down stream piling.

Stake with pink flagging used. Flagging was tied on stake and above on tree to show where mark was.",,,,0.0,4,HWM was unreliable and was not used.,Riverine,9/12/2023 4:00:00 AM,0,2,,0.4,HWM 1
13,33.3467,-80.5779,2023 Idalia,Debris,Poor: +/- 0.40 ft,Map (digital or paper),NAD83,Cow Castle Creek at I-26,SC,Orangeburg County,No,33.3467,-80.5779,45585,Cow Castle Creek,33762,336,2,4,Downstream of I-26 North bound bridge about 100ft on the right bank about 4 ft from bank edge. Debris is piled up on upstream side of tree.,93.4,2.0,6.0,1.8,4,,Riverine,9/12/2023 4:00:00 AM,0,2,0.11,0.4,HWM 2
14,33.3467,-80.5779,2023 Idalia,Seed line,Poor: +/- 0.40 ft,Map (digital or paper),NAD83,Cow Castle Creek at I-26,SC,Orangeburg County,No,33.3467,-80.5779,45586,Cow Castle Creek,33762,336,5,4,very few seeds on the stream ward side of tree. On the left bank about 65ft from bank edge on the outside of fence. About 35ft downstream of Northbound I-26.,,,,1.25,4,HWM was unreliable and was not used.,Riverine,9/12/2023 4:00:00 AM,0,2,,0.4,HWM 3
