,CITY,COUNTY,FACILITY_TYPE,TTL_BEDS,hos_Longitude,hos_Latitude,hf_Longitude,hf_Latitude
0,GAINESVILLE,ALACHUA,HOSPITAL,40.0,-82.43666336,29.69219137,,
1,GAINESVILLE,ALACHUA,HOSPITAL,81.0,-82.43663653,29.69147585,,
2,GAINESVILLE,ALACHUA,HOSPITAL,44.0,-82.36432040,29.63211699,,
3,GAINESVILLE,ALACHUA,HOSPITAL - ACUTE CARE,432.0,-82.41220000,29.65975600,,
4,GAINESVILLE,ALACHUA,HOSPITAL - TRAUMA,875.0,-82.34326474,29.63975339,,
5,GAINESVILLE,ALACHUA,HOSPITAL - VA,240.0,-82.34719000,29.63595000,,
6,MACCLENNY,BAKER,HOSPITAL - ACUTE CARE,25.0,-82.11899623,30.28609904,,
7,MACCLENNY,BAKER,HOSPITAL,1138.0,-82.14480384,30.22716751,,
8,PANAMA CITY,BAY,HOSPITAL,75.0,-85.66885702,30.18203065,,
9,PANAMA CITY,BAY,HOSPITAL,86.0,-85.65869064,30.18402124,,
10,PANAMA CITY,BAY,HOSPITAL - ACUTE CARE,216.0,-85.66515200,30.18965300,,
11,TYNDALL AIR FORCE BASE ,BAY,HOSPITAL - VA,,-85.60302000,30.07105000,,
12,PANAMA CITY BEACH ,BAY,HOSPITAL - VA,,-85.75838000,30.17674000,,
13,PANAMA CITY,BAY,HOSPITAL - TRAUMA,323.0,-85.64839536,30.15976409,,
14,STARKE,BRADFORD,HOSPITAL - ACUTE CARE,49.0,-82.10159646,29.94013189,,
15,COCOA BEACH,BREVARD,HOSPITAL - ACUTE CARE,150.0,-80.62303951,28.36010552,,
16,PALM BAY,BREVARD,HOSPITAL - ACUTE CARE,152.0,-80.61167304,27.99986717,,
17,ROCKLEDGE,BREVARD,HOSPITAL - ACUTE CARE,298.0,-80.72279882,28.33511522,,
18,MELBOURNE,BREVARD,HOSPITAL - ACUTE CARE,84.00084,-80.72933458,28.22797118,,
19,TITUSVILLE,BREVARD,HOSPITAL - ACUTE CARE,210.0,-80.82409566,28.63073156,,
20,MELBOURNE,BREVARD,HOSPITAL,90.0,-80.62013956,28.05556466,,
21,MELBOURNE,BREVARD,HOSPITAL,60.0,-80.63239371,28.09288067,,
22,MELBOURNE,BREVARD,HOSPITAL,52.0,-80.61583265,28.08968332,,
23,VIERA,BREVARD,HOSPITAL,100.0,-80.70819754,28.23417908,,
24,MELBOURNE,BREVARD,HOSPITAL - ACUTE CARE,119.0,-80.67481341,28.10936576,,
25,MELBOURNE,BREVARD,HOSPITAL - TRAUMA,514.0,-80.61437872,28.08820450,,
26,VIERA ,BREVARD,HOSPITAL - VA,,-80.74290299,28.25498017,,
27,PATRICK AFB,BREVARD,HOSPITAL - VA,,-80.60516000,28.21663000,,
28,HOLLYWOOD,BROWARD,HOSPITAL - TRAUMA,777.0,-80.18000755,26.01891635,,
29,FORT LAUDERDALE,BROWARD,HOSPITAL - TRAUMA,716.0,-80.14022481,26.10355622,,
30,POMPANO BEACH,BROWARD,HOSPITAL - TRAUMA,409.0,-80.12211756,26.27749614,,
31,TAMARAC,BROWARD,HOSPITAL - ACUTE CARE,317.0,-80.25493586,26.21223379,,
32,CORAL SPRINGS,BROWARD,HOSPITAL - ACUTE CARE,200.0,-80.25574615,26.26921780,,
33,PEMBROKE PINES,BROWARD,HOSPITAL - ACUTE CARE,350.0,-80.25070538,26.00282918,,
34,WESTON,BROWARD,HOSPITAL - ACUTE CARE,155.0,-80.36535470,26.08224781,,
