,Name,City,COUNTY,mln_Longitude,mln_Latitude,FACILITY_TYPE
0,GREYHOUND-PORT CHARLOTTE,PORT CHARLOTTE,CHARLOTTE,-82.05028,27.01659,BUS TERMINAL
1,GREYHOUND-ISLAMORADA,ISLAMORADA,MONROE,-80.62999,24.92268,BUS TERMINAL
2,GREYHOUND-TALLAHASSEE,TALLAHASSEE,LEON,-84.28243,30.44472,BUS TERMINAL
3,GREYHOUND-WEST PALM BEACH,WEST PALM BEACH,PALM BEACH,-80.06199,26.71219,BUS TERMINAL
4,GREYHOUND-KEY WEST INT'L,KEY WEST,MONROE,-81.75466,24.55354,BUS TERMINAL
5,GREYHOUND-BROOKSVILLE,BROOKSVILLE,HERNANDO,-82.42075,28.5569,BUS TERMINAL
6,GREYHOUND-JACKSONVILLE,JACKSONVILLE,DUVAL,-81.66295,30.32752,BUS TERMINAL
7,GREYHOUND-WINTER HAVEN,WINTER HAVEN,POLK,-81.73292,28.03106,BUS TERMINAL
8,GREYHOUND-STARKE,STARKE,BRADFORD,-82.10841,29.95285,BUS TERMINAL
9,GREYHOUND-NAPLES,NAPLES,COLLIER,-81.77258,26.13853,BUS TERMINAL
10,FIVE FLAGS TROLLEY,PENSACOLA,ESCAMBIA,-87.21100988,30.41125447,BUS TERMINAL
11,PINELLAS SUNCOAST TRANSIT AUTHORITY,SAINT PETERSBURG,PINELLAS,-82.67666969,27.88692808,BUS TERMINAL
12,GREYHOUND-GAINESVILLE,GAINESVILLE,ALACHUA,-82.29438,29.65248,BUS TERMINAL
13,GREYHOUND-MELBOURNE,MELBOURNE,BREVARD,-80.63238003,28.09763367,BUS TERMINAL
14,GREYHOUND-BELLE GLADE,BELLE GLADE,PALM BEACH,-80.68606,26.67898,BUS TERMINAL
15,GREYHOUND-SARASOTA,SARASOTA,SARASOTA,-82.53104,27.34093,BUS TERMINAL
16,GREYHOUND-MIAMI,MIAMI,MIAMI-DADE,-80.26298,25.80025,BUS TERMINAL
17,GREYHOUND-MARATHON,MARATHON,MONROE,-81.02601,24.73115,BUS TERMINAL
18,GREYHOUND-CHIEFLAND,CHIEFLAND,LEVY,-82.86859,29.49691,BUS TERMINAL
19,GREYHOUND-SPRING HILL,SPRING HILL,HERNANDO,-82.62961,28.45466,BUS TERMINAL
20,GREYHOUND-LAKE CITY,LAKE CITY,COLUMBIA,-82.6371,30.18712,BUS TERMINAL
21,GREYHOUND-ORLANDO,ORLANDO,ORANGE,-81.41359,28.54817,BUS TERMINAL
22,GREYHOUND-KISSIMMEE,KISSIMMEE,OSCEOLA,-81.40465,28.29342,BUS TERMINAL
